X,Y,Z,timestamp
-1.14191949,-0.02966785,-0.42211270000000006,38
0.08453523,0.12940216,-0.36532974,94
-0.33205169,0.76248169,-0.47872204,2147
-0.94377244,-1.39330578,2.27083158,2148
-1.4723928,-1.42597485,0.72781682,2149
1.47554636,-2.33270025,1.77235281,2150
0.47050595,6.81374454,1.87318325,2151
-0.5034889,-3.05445576,-1.49977338,2152
-0.70032203,0.17928791,-0.58664262,2153
-0.72498846,0.0090723,-0.05979478,2154
-0.22736026,0.04968357,0.26748699,2155
-0.10351257,0.08238602,0.21729273,2156
0.12586313,-0.0046978,0.10267723,2157
0.09996957,-0.04109287,0.09061253,2158
0.05378768,0.04404545,0.17637026,2159
0.02349466,0.00774574,0.07576913,2160
-0.10389403,0.00774574,0.07683015,2161
-0.09210527,0.05316448,0.05659264,2162
-0.04160073,-0.00720596,0.03014722,2163
-0.03817832,-0.00731659,-0.00249228,2164
0.00277194,0.02261448,-0.01914379,2165
0.00270146,-0.02124691,-0.0002701,2166
0.00640747,0.03383446,-0.00302443,2167
0.0445376,-0.01473808,-0.00520897,2220
0.02941212,-0.03650284,0.006944,2235
0.06091252,0.03616047,0.00192401,2293
0.02751115,-0.00350094,-0.05225408,2374
0.00708789,0.00497055,0.00448182,2408
-0.03775787,-0.01783562,-0.01156524,2468
0.025428,0.01020432,0.00675163,2525
0.0025930999999999997,0.00442314,0.03090185,2584
-0.01111388,0.00057507,0.04937297,2642
