X,Y,Z,timestamp
1.07190001,0.074,0.72399998,1
1.31999993,-0.1672,0.85749996,21
1.29069996,-0.43199998,0.82419997,43
1.36930001,-0.55769998,0.7166,61
1.37099993,-0.4296,0.80729997,81
1.47389996,-0.26089999,0.8193,101
1.41240001,-0.27770001,0.66609997,121
1.30509996,-0.3626,0.71759999,142
1.03639996,-0.40289998,0.55329996,161
0.70489997,0.0541,0.46199998,181
0.064,0.4549,0.3035,200
-0.28709999,0.94659996,-0.074,221
-0.2218,0.79569995,-0.23429999,240
-0.37539998,0.2057,-0.0309,261
-0.75389999,-0.33679998,-0.1133,281
-1.05069995,-0.60249996,-0.17369999,301
-0.97109997,-0.69189996,-0.1776,321
-0.9903,-0.54809999,-0.2922,341
-0.87809998,-0.30379999,-0.45359999,361
-0.7198,-0.0484,-0.4041,388
-0.36579999,0.0733,-0.45539999,401
-0.27689999,0.1173,-0.5298,421
-0.25799999,0.0916,-0.42629999,440
-0.37019998,-0.0368,-0.3897,460
-0.523,-0.11009999,-0.38,480
-0.66240001,-0.0554,-0.41859999,500
-0.5115,-0.0619,-0.34799999,521
-0.49859998,-0.087,-0.421,540
-0.57379997,-0.0157,-0.54149997,560
-0.43279999,0.0197,-0.62009996,581
-0.36409998,-0.0614,-0.47509998,600
-0.42519999,-0.1432,-0.4549,620
-0.41949999,-0.0365,-0.47739998,641
-0.39909998,0.1087,-0.46679997,661
-0.33309999,0.1978,-0.3319,681
-0.1997,0.37309998,-0.16749999,701
-0.0274,0.42879999,-0.0601,721
0.0837,0.37979999,-0.032,741
0.1761,0.4113,-0.0549,761
-0.0035,0.15879999,-0.0821,781
-0.44309998,-0.0228,-0.34209999,801
-0.61140001,-0.1383,-0.54659998,821
-0.2726,-0.16319999,-0.45159999,841
-0.0955,-0.1129,-0.26499999,861
0.0572,-0.0424,-0.141,881
0.14559999,-0.0017,-0.1514,901
0.049,-0.0109,-0.1503,920
-0.0534,0.11669999,-0.2058,940
0.0262,0.1152,-0.18269999,960
0.0141,-0.0415,-0.07669999,981
-0.0312,0.0356,-0.1147,1001
0.0428,0.0735,-0.0906,1021
0.236,0.13419999,-0.1047,1041
0.27809998,0.1236,-0.0695,1060
0.1011,0.0469,-0.0232,1081
-0.1091,0.0378,0.1078,1100
-0.25389999,0.0336,0.1109,1121
-0.1859,0.23959999,-0.0333,1141
-0.0607,0.17899999,0.0106,1160
0.0529,0.0029,0.0772,1181
0.0317,-0.0734,-0.0239,1201
0.0044,-0.0131,-0.0598,1221
-0.0106,0.0756,-0.1542,1241
0.0481,0.0071,-0.078,1261
0.0689,-0.0984,0.0852,1281
0.07539999,-0.1364,0.0235,1301
-0.0657,-0.1354,-0.1276,1321
-0.21159999,-0.0744,-0.1451,1341
-0.0583,-0.10349999,-0.22299999,1361
0.0035,-0.20999999,-0.1232,1388
-0.0827,-0.1029,-0.0672,1401
0.0113,-0.0241,-0.0748,1421
0.1987,0.0377,-0.0531,1440
0.19569999,0.018,0.0328,1461
0.0784,0.0001,0.08199999,1483
-0.0503,-0.0001,-0.0208,1500
-0.1192,-0.0518,-0.0219,1520
-0.09869999,-0.131,0.1138,1540
-0.081,0.0239,0.0906,1559
0.0647,0.0043,0.119,1580
0.0592,0.0054,0.1199,1600
0.0458,0.0452,-0.0299,1619
0.0466,-0.0412,0.0248,1639
-0.0164,-0.0404,0.0406,1659
-0.0726,0.0274,-0.0714,1679
-0.14199999,-0.0312,0.0479,1699
-0.1866,-0.1424,-0.0517,1719
-0.0366,-0.2511,-0.2474,1739
0.1347,-0.26839998,-0.2022,1759
0.34109998,-0.1023,-0.1177,1780
0.29629999,0.13789999,-0.0308,1799
0.19319999,0.1779,0.1168,1819
0.1312,0.13159999,0.145,1841
0.0913,0.112,0.1611,1860
0.15699999,0.19329999,0.0796,1881
0.19919999,0.0183,0.0875,1901
0.0954,0.022,0.15799999,1921
-0.1393,-0.0835,0.12459999,1942
-0.15339999,-0.055,-0.0356,1961
-0.19499999,-0.0151,-0.0543,1981
-0.19829999,0.0008,-0.0583,2000
-0.1293,-0.0677,0.0838,2021
-0.0292,-0.0973,0.1276,2041
0.0366,0.0897,-0.0429,2060
0.0227,0.0609,-0.11059999,2082
0.176,-0.154,-0.0459,2101
0.24689999,-0.1873,0.055,2121
0.28659999,-0.0086,-0.0234,2141
0.2529,-0.001,-0.0759,2160
-0.0143,-0.0178,-0.0573,2180
-0.2094,0.0287,-0.011,2202
-0.18239999,0.0587,0.13319999,2221
-0.0116,0.0286,0.1407,2242
0.0561,0.0485,0.0287,2261
-0.0146,0.0294,-0.022,2281
-0.0008,-0.0476,-0.0327,2301
0.0383,-0.0551,-0.0035,2321
-0.0265,-0.0341,0.0541,2342
-0.022,0.0848,-0.0069,2360
-0.0135,0.1268,-0.0731,2388
-0.0105,-0.0088,-0.0351,2401
-0.0832,-0.0446,0.0081,2421
-0.0751,-0.0048,0.0122,2441
-0.1007,-0.0327,0.038,2461
-0.18779999,-0.0351,0.0302,2481
-0.1437,-0.0731,-0.1292,2501
-0.09559999,-0.1124,-0.11059999,2521
-0.1222,-0.1304,-0.0379,2541
-0.12789999,-0.0235,0.03,2561
-0.013,0.1046,0.0679,2581
0.0915,0.0862,0.15869999,2600
0.1041,-0.0219,0.1166,2621
0.0197,0.0361,-0.1171,2641
-0.07009999,-0.0536,-0.0893,2661
-0.1839,-0.049,0.0055,2681
-0.23699999,-0.0892,-0.15169999,2700
-0.35159999,-0.11629999,-0.0835,2721
-0.35609999,-0.17649999,-0.0025,2741
-0.0364,-0.0702,-0.0721,2760
0.398,-0.0712,-0.1603,2781
0.0316,-0.15889999,0.08199999,2801
-0.50699997,-0.0613,0.1725,2821
-0.1056,0.1592,-0.18699999,2840
0.45339999,0.1076,-0.1013,2860
0.3766,-0.0728,0.1318,2881
0.2075,-0.0529,0.10749999,2901
0.2101,0.0292,0.0354,2921
0.1822,0.1857,-0.028,2941
0.0867,0.1481,0.0417,2963
-0.13689999,0.0519,0.1292,2981
-0.21959999,0.0585,0.1397,3000
-0.1144,0.03,0.04,3020
-0.0171,-0.0285,-0.0913,3040
-0.06659999,-0.0969,0.0084,3059
-0.1068,-0.1476,0.0638,3079
-0.0268,-0.0792,-0.0299,3099
-0.0679,-0.09079999,-0.0031,3120
-0.1655,0.0267,0.0262,3140
-0.0194,0.0444,0.014,3161
0.0106,-0.0047,0.0239,3181
0.0124,0.0242,-0.0427,3200
0.1113,0.0043,0.0376,3221
0.1837,-0.0605,0.1008,3240
-0.0927,-0.0207,0.0657,3261
-0.25669998,-0.006,-0.0849,3281
-0.15089999,-0.0763,-0.1969,3300
-0.0689,-0.0893,-0.10219999,3321
-0.0316,-0.0029,-0.0222,3341
0.15889999,0.0081,0.0573,3361
0.1961,-0.0134,0.1049,3388
0.1209,0.0076,0.046,3401
0.034,0.0072,0.0082,3421
0.0527,0.0566,0.0826,3441
0.24849999,0.0468,0.15009999,3461
0.0481,0.1265,0.0422,3481
-0.1348,0.0696,-0.1496,3501
-0.32099998,-0.1305,-0.0639,3521
-0.3795,-0.1302,-0.1055,3541
-0.12989999,-0.094,-0.0516,3561
0.1103,-0.0852,-0.0535,3581
0.1372,-0.14139999,0.0054,3601
0.1138,-0.1013,-0.0035,3621
0.0741,-0.07,-0.1188,3641
-0.0566,0.0678,0.0136,3660
-0.0532,0.0671,0.0511,3681
-0.0589,0.0781,-0.0358,3701
0.0152,0.0594,0.0354,3721
0.1576,-0.0083,0.17889999,3741
0.0741,-0.044,0.0581,3761
-0.13769999,0.0358,-0.073,3781
-0.0939,0.1131,-0.0603,3800
0.0835,-0.23019999,-0.0323,3820
-0.1294,-0.25040001,-0.062,3841
-0.39519998,-0.13239999,-0.0656,3860
-0.35619998,-0.0039,-0.0744,3882
-0.33609998,0.0328,0.0073,3901
-0.1231,0.0465,0.068,3920
-0.0119,0.0826,-0.0502,3941
0.10749999,0.0034,-0.0266,3960
0.2349,-0.0578,0.0556,3980
0.3344,0.0636,0.1004,4001
0.2999,0.26839998,0.0645,4020
0.1735,0.25079998,0.0503,4041
-0.0917,0.10399999,0.1222,4060
-0.081,0.0629,0.1125,4080
0.04,0.0528,0.029,4100
-0.0118,-0.0538,0.0388,4121
-0.0426,-0.09,-0.1645,4140
-0.1199,-0.1566,-0.21699999,4160
-0.28219998,-0.22149999,-0.0324,4181
-0.2985,-0.0771,-0.1065,4200
-0.20439999,-0.0663,-0.1987,4220
-0.10619999,-0.19409999,-0.1034,4242
-0.1577,-0.125,-0.0909,4260
-0.0439,0.0105,-0.0507,4282
0.13699999,0.068,-0.0394,4301
0.27590001,0.0519,-0.0236,4320
0.2958,0.0318,0.0564,4341
0.23779999,0.0359,0.0709,4361
0.0901,0.0456,-0.0114,4389
-0.0693,0.0538,-0.009,4400
-0.0673,0.0337,-0.0167,4421
-0.0063,0.0333,0.047,4440
0.0102,-0.0736,0.0906,4461
0.0693,0.0462,-0.0695,4482
0.2402,0.1064,0.063,4501
0.09559999,-0.17359999,0.0972,4521
-0.20559999,-0.044,-0.27109998,4541
-0.2192,-0.1357,-0.14569999,4561
-0.3818,-0.0089,-0.085,4583
-0.10349999,-0.0509,-0.0334,4601
0.28119999,-0.17119999,-0.0663,4620
0.1663,-0.0816,-0.0805,4642
0.052,-0.0137,0.018,4661
-0.0268,0.0431,-0.0035,4682
-0.13849999,0.08109999,0.11059999,4701
-0.0931,-0.0104,0.0076,4721
-0.0459,0.0761,0.0535,4741
-0.2687,0.0792,0.0856,4760
-0.24319999,0.1565,-0.0334,4782
0.0502,0.1349,0.0348,4801
0.2316,0.1336,0.0131,4821
0.1427,-0.0406,0.1025,4841
-0.0165,0.0087,0.0971,4861
0.0672,0.0685,0.0464,4882
0.1725,0.079,-0.0638,4901
0.0626,-0.0065,-0.047,4921
-0.0114,-0.0148,-0.0087,4941
0.0549,0.0273,-0.0387,4961
0.1327,0.0596,-0.0045,4982
0.12819999,-0.0619,0.0104,5001
-0.1319,-0.0676,-0.1349,5020
-0.32229999,-0.13939999,-0.15189999,5041
-0.41099998,-0.26620001,-0.1245,5061
-0.36659998,-0.1557,-0.0746,5082
-0.0638,0.0976,-0.0331,5101
0.18449999,0.0795,-0.0146,5121
0.1089,-0.0485,0.0528,5141
-0.0873,-0.1292,-0.0508,5160
-0.2481,-0.0227,-0.06879999,5188
-0.1393,-0.1349,0.0668,5200
-0.0824,-0.1074,0.0031,5220
0.0426,-0.0777,-0.0502,5239
0.2359,-0.12629999,-0.0071,5259
0.15869999,-0.054,-0.041,5279
0.0737,-0.0132,-0.0825,5299
0.0213,-0.0027,-0.0537,5319
-0.0005,-0.0805,-0.0865,5339
-0.1261,0.0548,0.13499999,5360
-0.1705,-0.042,0.13339999,5386
-0.22809999,0.09119999,0.0751,5400
-0.2103,0.023,0.0143,5421
-0.053,-0.0653,-0.0614,5441
-0.0476,-0.06439999,-0.0612,5461
0.0325,0.0253,-0.0662,5481
0.19479999,0.0654,-0.055,5501
0.221,0.0606,0.0599,5521
0.0383,-0.0455,0.21169999,5541
-0.15869999,-0.0657,0.2322,5561
-0.1917,-0.0545,-0.1038,5581
-0.13349999,-0.0074,-0.1621,5601
-0.12979999,0.09209999,-0.0887,5621
0.0656,0.0652,-0.0449,5641
0.102,-0.0099,0.0341,5660
0.0013,-0.11449999,-0.0422,5682
-0.0655,-0.0535,-0.1683,5700
-0.0726,-0.0048,-0.0341,5720
0.0917,-0.14129999,0.0783,5740
-0.1488,-0.1226,-0.1014,5759
-0.32249999,-0.0716,-0.2069,5780
-0.24579999,-0.1249,-0.1215,5800
-0.134,-0.0083,-0.0884,5819
0.1345,0.0022,-0.0505,5839
0.2678,-0.0582,-0.0042,5859
0.1321,-0.0471,-0.0047,5880
-0.0631,-0.0673,0.0415,5900
-0.1481,-0.0413,-0.12459999,5922
-0.21779999,-0.0215,-0.13349999,5940
-0.1708,0.0437,0.123,5960
0.0099,0.1506,0.21059999,5981
0.2568,0.2333,0.0772,6000
0.4174,0.176,0.035,6021
0.24679999,-0.042,-0.0457,6041
-0.0075,-0.0884,0.0025,6061
-0.2243,-0.1095,-0.1026,6081
-0.28759998,-0.21589999,-0.1988,6100
-0.24659999,-0.1013,-0.14209999,6121
-0.18539999,0.0766,-0.0305,6140
0.1208,0.0705,0.0509,6161
0.2471,0.0628,0.0284,6181
0.0979,0.0179,-0.0545,6200
-0.1188,0.0099,-0.0319,6221
-0.18509999,-0.0228,-0.0205,6241
-0.2342,-0.0625,-0.011,6260
-0.16589999,0.08,0.0807,6281
0.3175,0.0003,0.1213,6301
0.0932,0.0016,-0.0622,6321
-0.0898,-0.0165,-0.1476,6340
0.0249,-0.24159999,-0.0062,6360
-0.2243,-0.0959,-0.0915,6387
-0.1344,-0.079,-0.0696,6401
0.2525,-0.23709999,0.0512,6421
-0.0516,0.0057,-0.0052,6440
-0.2595,0.0552,-0.1136,6460
-0.0892,-0.0359,0.033,6481
0.0742,0.0799,0.0685,6501
0.1539,0.1407,0.0668,6521
0.23009999,0.0922,-0.0611,6541
0.18249999,0.0374,-0.0391,6560
0.0135,-0.0502,0.0663,6580
-0.0093,0.0001,0.1027,6599
-0.0041,-0.0377,0.0184,6619
-0.0636,0.1487,-0.023,6640
0.0834,0.0726,-0.132,6659
0.0849,-0.0021,-0.0931,6679
0.0237,-0.0779,-0.0391,6699
-0.13149999,-0.13679999,0.1398,6719
-0.1311,-0.0758,0.092,6740
-0.1717,-0.0682,-0.0606,6761
-0.227,-0.0278,0.0239,6781
-0.1758,-0.0108,0.11009999,6801
0.0625,-0.0193,0.10399999,6821
0.14909999,0.0246,-0.0379,6841
0.0998,0.0858,-0.0169,6861
0.0691,0.0689,0.0385,6882
-0.0116,-0.0185,0.0528,6901
0.063,0.0318,0.0335,6921
0.31799999,0.0027,0.1135,6941
0.17369999,-0.07099999,0.0607,6961
-0.45299998,-0.0681,-0.23799999,6981
-0.5248,-0.25319999,-0.25749999,7001
-0.4082,-0.1962,-0.0364,7021
-0.2586,0.0121,-0.0576,7041
0.1319,-0.0386,-0.0404,7061
0.3558,-0.0242,0.0146,7081
0.2066,0.0324,-0.0658,7101
0.0449,0.0011,-0.0822,7121
-0.1021,-0.07,-0.0072,7141
-0.1864,0.0695,0.0589,7161
-0.26089999,0.1743,-0.0597,7181
-0.1372,0.09959999,-0.053,7202
-0.0192,-0.04,0.099,7221
0.32429999,0.0226,-0.0295,7241
0.57300001,0.0412,0.0051,7260
0.47679999,-0.0363,0.103,7281
0.2764,0.0454,0.0606,7301
0.0584,0.09,0.0225,7321
-0.1013,0.0958,0.0318,7341
-0.1612,-0.0285,-0.0572,7361
-0.17389999,-0.0689,-0.1459,7388
-0.25509998,-0.0707,-0.1723,7400
-0.31990001,-0.0862,0.0748,7421
-0.3012,-0.1096,0.0426,7441
-0.29080001,-0.0409,-0.0395,7460
-0.1388,-0.06439999,-0.07229999,7482
-0.0772,-0.1046,-0.0263,7501
-0.1345,-0.1077,0.0012,7521
-0.0656,-0.0201,0.0428,7541
0.07669999,-0.0294,-0.0026,7561
0.1644,-0.0396,-0.2465,7581
0.0178,0.1459,-0.0368,7601
0.0157,0.0967,0.3202,7621
0.0415,-0.0981,0.23259999,7641
-0.0063,-0.1276,0.0334,7661
-0.018,-0.0295,-0.1735,7681
-0.0894,0.09869999,-0.1468,7701
-0.0066,0.0412,0.0271,7722
0.0223,-0.0738,0.1628,7741
0.0289,0.0179,0.0738,7760
0.0856,0.24659999,-0.0303,7781
0.0665,-0.0916,-0.0062,7801
-0.1027,-0.22559999,-0.0434,7819
-0.1964,-0.13789999,-0.0329,7840
-0.0527,-0.1463,-0.0346,7859
-0.1256,-0.1372,-0.0089,7880
-0.3915,-0.097,-0.1593,7900
-0.28039998,-0.12199999,-0.074,7921
0.0077,-0.0347,0.1033,7941
0.189,0.0769,0.0888,7961
0.2348,0.0975,-0.0124,7981
0.1197,-0.026,-0.0667,8001
-0.2572,-0.0348,-0.0953,8021
-0.50709999,-0.1337,-0.0187,8041
-0.18429999,-0.0673,-0.0849,8060
0.0448,-0.059,-0.0928,8082
-0.0667,-0.1099,-0.0275,8101
-0.0447,-0.1426,-0.0387,8121
0.0571,-0.0873,-0.0123,8141
0.1648,-0.0779,0.0056,8161
0.2252,-0.0614,-0.073,8181
0.088,-0.0131,-0.0382,8201
-0.19929999,0.0925,-0.0846,8221
-0.30969998,0.16159999,-0.16329999,8240
-0.33429998,0.0792,-0.0515,8260
-0.1771,-0.18349999,-0.1503,8281
0.0281,0.125,-0.13419999,8301
0.1228,0.1032,0.25939998,8321
0.29729998,0.0611,0.3732,8341
0.4391,0.29159999,0.0696,8360
0.5794,0.0867,-0.0485,8388
0.3398,0.0059,-0.0308,8400
0.12539999,0.0472,0.121,8421
0.084,0.12899999,0.1275,8441
-0.0111,0.0331,0.0086,8461
-0.2342,-0.0669,-0.0144,8481
-0.35169998,-0.1251,0.0322,8500
-0.2536,-0.227,-0.055,8520
-0.1257,-0.10879999,-0.0415,8540
0.0101,-0.06659999,-0.0019,8561
0.095,-0.0338,0.0086,8581
0.0744,0.10839999,0.0116,8600
0.0806,0.22939999,-0.0132,8621
0.0743,0.0373,0.049,8640
0.0076,-0.12709999,0.0334,8660
-0.18869999,-0.0406,0.0497,8682
-0.0839,-0.0493,0.0801,8701
-0.0431,-0.108,-0.0284,8721
-0.0668,-0.0379,-0.13679999,8740
0.1688,-0.063,-0.2094,8760
0.1206,-0.0998,-0.0882,8781
-0.2024,-0.15889999,-0.17279999,8801
-0.21059999,-0.23289999,-0.23459999,8821
-0.0599,-0.16319999,-0.039,8840
-0.0507,0.0838,-0.017,8860
0.1656,0.039,0.0029,8881
0.16869999,0.0695,0.1026,8900
0.1419,0.0049,0.0976,8920
-0.0299,-0.0431,0.0562,8940
-0.228,-0.0478,-0.0629,8960
-0.3134,-0.09779999,-0.0663,8980
-0.0768,-0.0322,-0.0577,8999
0.1243,-0.0434,0.1433,9020
0.18959999,0.0185,0.0458,9040
0.0436,0.0671,-0.0691,9060
-0.21959999,-0.0658,-0.1162,9080
-0.37639999,-0.0881,-0.2084,9100
-0.27199998,-0.0482,-0.13329999,9120
-0.0425,-0.0421,-0.0025,9141
0.13339999,0.0163,-0.0072,9162
0.4156,0.26890001,0.0961,9181
0.60729998,-0.0051,0.20999999,9200
