X,Y,Z,timestamp
1.68652344,0.07598877,-1.84863281,13
1.38378906,-0.46972656,-1.76464844,16
1.16601563,-0.59521484,-1.265625,19
0.95703125,-0.50537109,-1.0625,45
0.87304688,-0.04919434,-1.27246094,48
0.72265625,0.30004883,-1.38867188,51
0.69335938,0.15783691,-1.53710938,74
0.54199219,-0.3059082,-1.49609375,77
0.26782227,-0.80517578,-1.46777344,81
0.17480469,-0.24047852,-1.37890625,106
-0.05438232,-0.25097656,-1.21582031,109
-0.13427734,-0.64648438,-1.01074219,112
-0.14294434,-0.42651367,-0.80712891,124
-0.22680664,-0.64550781,-0.58886719,127
-0.29492188,-0.94482422,-0.45947266,155
-0.29467773,-0.57373047,-0.37670898,176
-0.44091797,-0.66210938,0.05725098,180
-0.31567383,-0.5703125,0.20751953,184
-0.31835938,-0.14611816,0.35595703,187
-0.74462891,-0.28564453,0.42089844,190
-0.98876953,-0.70263672,-0.08135986,219
-1.17285156,-1.03320313,0.17480469,224
-1.10742188,-0.38232422,0.59375,232
-1.23730469,0.20568848,0.88720703,239
-1.49609375,-0.14453125,1.11425781,244
-1.54296875,-0.47045898,1.36035156,261
-1.33496094,0.00939178,1.47265625,265
-1.33300781,0.28051758,1.47949219,280
-1.16210938,0.2644043,1.43847656,283
-1.15234375,-0.23803711,1.37890625,306
-1.98730469,-1.55957031,1.38476563,309
-1.84375,-0.99414063,1.26660156,312
-1.65332031,-0.01522064,1.59082031,336
-1.859375,0.24853516,1.44726563,339
-1.73242188,-0.00298119,1.109375,342
-1.64355469,-0.40234375,1.09375,366
-1.78222656,-0.72949219,0.75048828,369
-2.28515625,-0.45361328,1.19140625,385
-1.3359375,-0.13623047,2.17382813,388
-1.40234375,0.04721069,1.87109375,401
-1.90625,0.13696289,2.13671875,407
-1.59179688,-0.63818359,2.8046875,409
-1.11523438,-0.24401855,1.67578125,437
-1.81835938,-1.11132813,1.609375,449
-1.89648438,-0.63232422,1.75390625,452
-1.63476563,-0.14477539,1.90820313,457
-1.71289063,-0.61865234,1.71386719,460
-1.68652344,-0.80273438,1.45898438,487
-1.5,-1.29199219,1.44921875,490
-1.50292969,-1.546875,1.13085938,492
-1.88378906,-1.84472656,0.92626953,518
-2.23632813,-1.73828125,0.87597656,520
-2.828125,-0.99658203,0.65136719,523
-3.31445313,-0.88037109,0.28491211,548
-3.69726563,-0.72021484,0.21325684,550
-3.95507813,-0.05725098,0.23547363,553
-4.5234375,-0.08807373,0.49121094,578
-5.07421875,-1.3671875,0.93017578,581
-5.5703125,-2.57617188,0.88818359,583
-5.9375,-3.109375,0.83447266,608
-6.30078125,-3.30664063,1.37890625,611
-6.74609375,-3.32226563,2.08203125,613
-6.94140625,-3.20703125,2.3125,638
-7.1015625,-3.00195313,2.34375,642
-7.02734375,-2.8984375,2.140625,644
-6.91015625,-2.88476563,1.74316406,670
-6.984375,-2.94335938,1.71875,673
-6.5390625,-3.03320313,1.62695313,677
-6.09765625,-2.44335938,1.07324219,700
-5.79296875,-1.09765625,0.3034668,704
-5.65234375,0.07415771,-0.60693359,707
-5.32421875,0.23364258,-1.28027344,730
-4.23828125,-0.43994141,-2.078125,734
