X,Y,Z,timestamp
0.00203661,0.02113628,0.02200246,47
-0.03268091,-0.00453377,0.01584464,104
-0.08842069,-0.03368092,0.08705229,163
-0.16352220000000003,-0.02408886,0.06449437,219
-0.06482235,0.03407764,0.01020032,285
0.15114298,0.01351643,0.00087756,335
0.10694660000000002,0.01045895,-0.04710484,394
0.05014679,0.00638962,-0.01096076,452
-0.06728694,0.01838303,-0.03344828,511
-0.08513016,-0.02408504,-0.00234741,569
-0.09083965,-0.01381302,0.0170064,626
-0.04885724,0.01810169,0.01670623,686
-0.11126964,0.00466728,0.0208382,741
-0.03815766,-0.01244926,-0.01717138,799
0.0335823,0.00982475,-0.05125099,858
-0.02827417,-0.00844574,0.00428045,915
-0.0275111,-0.00393295,0.00797617,973
-0.09730236,0.01123047,0.00352442,1032
-0.04506568,0.00757694,-0.01329112,1087
-0.08253157,-0.02077866,-0.04351872,1147
0.01649149,0.00430679,0.01750278,1204
0.01463829,0.03839493,-0.04244113,1262
-0.08162638,-0.041088099999999995,0.01231462,1320
0.00122406,0.00264072,0.04595399,1378
0.05430377,0.00408173,0.01073152,1439
0.10984245,0.03546715,-6.664e-05,1494
0.04344548,-0.02355385,-0.02836555,1551
-0.04280114,0.0010519,0.03071642,1612
-0.03239846,-0.01607418,-0.01063752,1667
0.00668846,0.03217411,0.00761575,1726
0.08424264,0.00347519,-0.04374546,1782
0.11169654,-0.00578594,-0.00184703,1842
0.01582389,-0.02821732,-0.00195122,1898
0.00599749,0.00029278,-0.00137442,1956
-0.03549667,-0.00272179,0.00710696,2015
-0.11841872,-0.034377099999999994,0.04260582,2072
0.00528931,0.02456474,0.03983015,2130
-0.04773081,-0.03743458,0.05110019,2187
-0.26380754,0.05498409,-0.02628946,2245
-0.31706861,-0.05801201,0.03416079,2303
-0.21038189999999998,-0.02215195,0.03445423,2362
0.011140700000000002,0.00439548,-0.00936317,2420
0.13785358,0.03903866,0.01635677,2477
-0.02399442,0.00096607,-0.04947311,2535
-0.05886905,0.01617622,0.02677011,2592
-0.05582576,0.03764534,-0.02312207,2650
0.0056142,-0.05388737,0.00594115,2708
-0.18055487,-0.11772156,0.0795058,2766
-0.05321478,-9.54e-06,0.04771799,2823
0.17209581,0.05019665,-0.00388408,2882
0.34220490000000003,0.05419731,-0.00636852,2940
0.26750907,-0.01471424,-0.03924137,2997
0.27610344,0.05623245,-0.13216484,3055
0.40561354,0.11659527,-0.10384291,3113
-0.02105864,-0.06668377,-0.21490663,3171
-0.08602751,-0.03820133,0.05559057,3228
-0.51727474,-0.02185917,0.02599037,3288
-0.3874273,-0.08115005,0.13196075,3344
-0.25984532,0.02285385,0.23895711,3402
-0.28885835,-0.02387619,-0.04021454,3461
0.17029601,0.14311218,-0.02139914,3518
0.15889791,0.01208687,-0.03146034,3575
-0.12681115,0.04850197,-0.04943961,3633
-0.19322473,0.00208187,-0.1017825,3692
-0.20323165,-0.04661274,0.09568483,3751
-0.24557477,-0.02851009,0.10039687,3806
-0.16822408,-0.00341606,0.11100161,3865
-0.10330179,-0.06944466,0.26095319,3922
-0.17256829,-0.10889244,0.26841921,3981
-0.15171263,-0.08858299,0.27245188,4039
-0.05502909,-0.01452637,0.09715605,4097
0.1191204,0.01617813,0.01653492,4155
0.00528593,0.08174419,-0.10476935,4211
-0.05543844,0.01768017,-0.2999742,4269
0.10796219,0.00695705,-0.22666165,4326
0.15002263,0.04890251,-0.2337307,4385
0.17422913,0.07883835,-0.22326538,4443
0.1711529,-0.0223732,-0.0690062,4502
0.04441398,-0.02689648,-0.08888453,4559
-0.01981924,0.0831728,-0.17182285,4616
-0.02458684,0.054026599999999994,-0.31520182,4676
0.23565355,0.12308025,-0.34026927,4733
0.33278418,0.01234531,-0.17183402,4791
0.00367114,-0.05182934,-0.17915379999999997,4848
-0.32334116,-0.06501865,-0.05680016,4907
