X,Y,Z,timestamp
0.31445313,-0.30712891,-0.05780029,432
0.32104492,-0.21057129,-0.14025879,434
0.33764648,-0.08013916,-0.19409179999999998,467
0.33203125,-0.05111694,-0.29785156,470
0.3125,-0.10827637,-0.4909668,488
0.30224609,-0.16296387,-0.69433594,493
0.27978516,-0.19934082,-0.86767578,496
0.26147461,-0.2590332,-1.06152344,499
0.27563477,-0.24511719,-1.24414063,507
0.35351563,-0.24694824,-1.40722656,510
0.3059082,-0.3269043,-1.46875,542
0.20092773,-0.34741211,-1.62988281,545
0.17700195,-0.36645508,-1.78222656,548
0.17663574,-0.37670898,-1.921875,557
0.15686035,-0.46704102,-2.06054688,560
0.16369629,-0.64111328,-2.140625,587
0.3581543,-0.56591797,-2.1484375,590
0.47167969,-0.26098633,-1.98046875,593
0.21374512,-0.014015200000000002,-1.69726563,617
-0.04324341,-0.05975342,-1.53515625,620
-0.03686523,-0.28759766,-1.56738281,623
0.11267089999999998,-0.46972656,-1.78320313,648
0.10827637,-0.57373047,-1.86035156,651
-0.14379883,-0.77978516,-1.5703125,654
-0.21142578,-0.90820313,-1.45410156,678
-0.1295166,-0.80126953,-1.53515625,681
-0.17126465,-0.70751953,-1.75292969,684
-0.42480469,-0.79248047,-1.82910156,708
-0.77001953,-0.87109375,-1.74804688,711
-0.87841797,-0.81738281,-1.85644531,714
-0.82421875,-0.87792969,-1.70996094,738
-0.85009766,-0.93115234,-1.70214844,741
-0.65673828,-0.84082031,-1.85546875,744
-0.49072266,-0.93603516,-1.98632813,768
-0.359375,-0.83837891,-2.171875,771
-0.28222656,-0.61474609,-2.15429688,774
-0.52783203,-0.44311523,-1.91992188,798
-0.72070313,-0.27441406,-1.70410156,801
-0.78173828,-0.15917969,-1.62988281,804
-0.87402344,-0.23010254,-1.63574219,829
-1.15527344,-0.25292969,-1.75488281,832
-1.43652344,-0.09387207,-1.55273438,835
-1.56738281,-0.17553711,-1.47460938,859
-1.52929688,-0.40209961,-1.66992188,862
-1.61914063,-0.66992188,-1.35742188,865
-1.85058594,-0.54345703,-1.23144531,889
-1.703125,0.13586426,-1.41796875,892
-1.6484375,0.62402344,-1.52148438,894
-1.96386719,0.8125,-1.70898438,919
-2.328125,0.84814453,-1.49316406,922
-2.67382813,0.62890625,-0.24060059,924
-2.59570313,-0.02966309,0.58935547,949
-2.06445313,-0.53662109,0.63183594,952
-1.52929688,-0.3371582,0.38085938,954
-1.33007813,0.28027344,0.04296875,980
-1.484375,0.71728516,-0.56054688,982
-1.4453125,1.00488281,-1.43066406,985
-1.93261719,1.25585938,-1.79882813,1011
-3.06054688,1.59960938,-0.765625,1014
-3.5703125,2.03320313,2.32226563,1018
-2.36914063,1.55566406,2.8671875,1041
-1.53027344,0.72216797,2.29101563,1045
-1.07714844,0.41162109,1.49121094,1048
-1.0859375,0.97314453,0.79394531,1071
-1.11035156,1.796875,0.04067993,1075
-1.22949219,2.33789063,-0.5703125,1079
-2.00390625,2.5625,-0.67871094,1101
-2.9921875,2.70507813,-0.20104979999999997,1105
-4.0703125,2.77148438,1.02929688,1109
-4.390625,2.21875,1.59863281,1132
-3.87109375,1.11816406,1.078125,1136
-3.47460938,0.30883789,0.64501953,1140
-3.01953125,0.1607666,0.29736328,1152
-2.63476563,0.46411133,0.08966064,1155
-2.41210938,0.80224609,0.00186443,1182
-2.25585938,0.94238281,0.36572266,1184
-2.30664063,1.04492188,1.67773438,1187
-2.28320313,1.13476563,3.640625,1211
-1.79003906,1.03417969,4.6796875,1214
-1.43652344,0.7578125,4.5859375,1217
-1.31738281,0.36523438,4.3984375,1242
-1.37597656,0.20629883,4.2109375,1245
-1.52734375,0.35913086,3.76953125,1248
-1.390625,0.56201172,3.34765625,1272
-1.20703125,0.67626953,3.16210938,1276
-1.29101563,0.80712891,3.13671875,1279
-1.68652344,0.87695313,3.28320313,1303
-2.18945313,0.84960938,3.7421875,1306
-2.77734375,0.81103516,4.078125,1309
-3.03710938,0.72802734,4.0546875,1333
-2.87890625,0.55126953,3.89453125,1335
-2.640625,0.27392578,3.5,1338
-2.40820313,-0.0993042,3.06640625,1363
-2.09570313,-0.48852539,2.75,1365
-1.77832031,-0.78173828,2.5546875,1368
-1.46972656,-0.93505859,2.5078125,1393
-1.14648438,-1.02636719,2.50976563,1395
-0.96972656,-1.00390625,2.453125,1398
-0.97265625,-0.91650391,2.40820313,1423
-0.92724609,-0.76611328,2.3359375,1426
-0.83984375,-0.63427734,2.26757813,1428
-0.71435547,-0.58203125,2.1484375,1453
-0.48266602,-0.57177734,2.02148438,1456
-0.24255371,-0.58300781,1.89648438,1458
-0.05117798,-0.63916016,1.74902344,1484
0.03952026,-0.6171875,1.68261719,1486
0.13024902,-0.56298828,1.58007813,1488
0.23364258,-0.56103516,1.52929688,1514
0.33789063,-0.52539063,1.50097656,1518
0.36450195,-0.42407227,1.5,1521
0.28540039,-0.30883789,1.43359375,1544
0.05047607,-0.13806152,1.3203125,1547
-0.25830078,0.03637695,1.17871094,1549
-0.60498047,0.14575195,1.07714844,1574
-0.93212891,0.19104004,0.91210938,1577
-1.21484375,0.23974609,0.66210938,1579
-1.48339844,0.18359375,0.38696289,1604
-1.62304688,0.05740356,0.11676025,1607
-1.6015625,-0.12915039,-0.17077637,1609
-1.55273438,-0.26660156,-0.44702148,1635
-1.48046875,-0.31738281,-0.68164063,1637
-1.34375,-0.28759766,-0.81347656,1640
-1.21484375,-0.17700195,-0.89208984,1665
-1.09082031,0.02375793,-1.0,1667
-0.93701172,0.265625,-1.06347656,1670
-0.79394531,0.51416016,-1.07226563,1695
-0.67333984,0.7734375,-1.09179688,1698
-0.57324219,0.96679688,-1.16992188,1700
-0.51367188,1.27050781,-1.21972656,1725
-0.49536133,1.42089844,-1.32519531,1728
-0.47875977,1.55957031,-1.39453125,1730
-0.45874023,1.70214844,-1.49023438,1756
-0.46630859,1.77734375,-1.57714844,1758
-0.53662109,1.88183594,-1.63867188,1761
-0.5703125,2.046875,-1.67773438,1786
-0.54882813,2.1484375,-1.73925781,1789
-0.56884766,2.17382813,-1.73144531,1791
-0.54931641,2.19335938,-1.74121094,1816
-0.43286133,2.15234375,-1.75292969,1819
