X,Y,Z,timestamp
-0.0741,-0.0117,-0.0749,19
-0.1355,0.0185,-0.0184,40
-0.13949999,0.0523,0.0194,58
-0.15009999,0.0407,0.0343,79
-0.0895,0.0254,0.0339,98
-0.1166,-0.0576,0.0511,118
-0.13689999,-0.0257,0.0781,139
-0.1133,0.032,0.0565,158
-0.0337,0.0354,0.1073,180
-0.0355,0.1007,0.0871,200
-0.0905,0.0751,0.0721,220
-0.12249999,-0.0302,0.0199,239
-0.0793,-0.0073,-0.0733,261
-0.0191,0.052,-0.0696,280
-0.0478,-0.0203,-0.0097,300
-0.0748,-0.0795,-0.0057,320
-0.0895,0.0229,-0.0631,339
-0.1706,0.003,-0.08329999,359
-0.1445,0.0645,-0.1628,381
-0.0024,0.0802,-0.0662,400
0.0203,0.012,-0.0474,420
-0.0642,0.0346,0.0054,440
-0.0631,0.0224,0.1005,459
-0.0308,0.0017,0.0725,480
-0.0994,0.0529,0.1275,500
-0.0522,0.0893,0.12729999,520
-0.0804,-0.0137,0.12819999,540
-0.1338,-0.0473,0.0786,559
-0.0141,0.0669,0.0272,580
0.0642,0.0086,-0.0023,600
-0.0822,-0.0691,-0.0339,620
-0.1943,0.0593,-0.0506,639
-0.0351,0.08679999,-0.0351,659
-0.054,-0.0221,0.003,680
-0.19139999,-0.064,-0.0435,699
-0.3136,-0.0348,-0.0976,720
-0.3752,-0.0056,-0.1954,740
-0.3863,-0.0816,-0.21249999,759
-0.54269999,-0.0412,-0.2427,780
-0.69639999,-0.1415,-0.27849999,800
-0.99649996,-0.39379999,-0.1839,819
-1.32249999,-0.38319999,-0.12729999,839
-1.52619994,0.39039999,-0.58779997,859
-1.03409994,0.61409998,-0.71340001,880
-0.95669997,-0.0615,-0.79319996,900
-1.19159997,-0.3062,-0.92039996,919
-1.12759995,0.25419998,-1.08739996,940
-0.42879999,0.24959999,-0.93299997,959
-0.17299999,-0.015,-0.9095,981
-0.57300001,0.0951,-0.8876,1000
-0.83099997,0.46759999,-0.74000001,1020
-0.72289997,0.24939999,-0.47299999,1039
-0.97119999,0.4725,-0.3759,1059
-0.96209997,0.5176,-0.189,1080
-1.03839993,0.4966,-0.0215,1101
-1.14199996,0.94319999,-0.18069999,1119
-0.9896,1.38590002,-0.41,1139
-0.79029995,1.12129998,-0.4429,1159
-0.39659998,0.65279996,-0.39429998,1180
-0.0589,0.50510001,-0.31919998,1199
0.1103,0.97649997,-0.3795,1220
0.34540001,0.98469996,-0.14119999,1239
-0.1705,1.0438,0.1004,1259
-0.26190001,1.09430003,0.0041,1280
-0.0807,1.1006,0.0664,1299
0.1664,1.25809991,0.2559,1319
0.50299996,0.80989999,0.38209999,1339
0.54369998,0.51429999,-0.127,1359
1.1279,0.82919997,-0.2086,1380
1.63739991,0.7033,-0.10839999,1399
1.88940001,0.49809998,-0.0641,1419
1.86099994,0.79839998,-0.0296,1439
2.13400006,1.02979994,0.26800001,1460
2.02009988,0.9138,0.6358,1480
2.02390003,0.58340001,0.57319999,1499
1.79929996,0.35029998,0.48249999,1519
1.77249992,0.1556,0.5205,1540
1.65020001,0.39499998,0.3531,1559
1.72669995,0.51050001,0.145,1580
1.66059995,0.23189999,-0.3281,1598
1.71529996,0.25209999,-0.74049997,1618
1.79419994,0.3301,-0.9091,1638
0.9034,-0.0654,-0.94079995,1658
0.2814,-0.27719998,-0.84849995,1678
-0.1001,-0.60359997,-0.85299999,1699
-0.29909998,-1.04509997,-0.7295,1718
-0.31829998,-1.24459994,-0.60049999,1738
-0.3572,-1.23989999,-0.61019999,1759
-0.67809999,-1.22619998,-0.90789998,1779
-0.3962,-1.26499999,-1.07620001,1798
-0.12899999,-1.00209999,-1.45739996,1819
-0.18089999,-0.4091,-2.15109992,1839
-0.61129999,0.13509999,-3.26119995,1859
-1.0927,0.917,-3.63339996,1879
-2.1092,1.81470001,-3.62800002,1899
-2.33789992,2.10909986,-3.34609985,1919
-2.58729982,1.75189996,-3.00880003,1940
-2.94339991,0.85079998,-2.25849986,1960
-3.25650001,0.31169999,-2.14190006,1980
-2.95210004,0.068,-2.09060001,1999
-2.59159994,0.16849999,-2.38380003,2019
-2.01409984,0.39559999,-2.4993999,2039
-1.602,0.64849997,-2.87629986,2060
-1.079,0.86069995,-2.7737,2080
-0.87449998,1.12089992,-2.5618,2098
-0.80559999,1.06700003,-1.85959995,2118
-0.82549995,0.76909995,-1.28299999,2138
-0.84069997,0.53709996,-0.82009995,2160
-0.92869997,0.48569998,-0.65920001,2179
-0.98079997,0.58899999,-0.65439999,2198
-1.19289994,0.71529996,-0.79079998,2218
-1.16499996,0.35999998,-1.0194,2238
-1.23029995,-0.42139998,-1.22379994,2258
-1.23070002,-0.5923,-1.2141,2278
-1.41460001,-0.51209998,-1.32199991,2299
-1.29030001,-0.43709999,-1.12979996,2318
-1.32439995,-0.26719999,-0.94479996,2339
-1.30869997,-0.08639999,-0.71819997,2359
-1.38399994,-0.0524,-0.63709998,2379
-1.27149999,-0.15959999,-0.5499,2399
-1.28699994,-0.0194,-0.50150001,2420
-1.21659994,0.2376,-0.27689999,2439
-1.06389999,0.3838,-0.0456,2460
-0.84990001,0.61539996,-0.0401,2480
-0.43609998,0.82379997,-0.007,2500
-0.1222,0.69619995,0.16929999,2519
-0.1688,0.18619999,0.33989999,2541
-0.35869998,0.20459999,0.0722,2560
-0.73569995,0.2436,-0.21149999,2580
-1.35500002,0.19769999,-0.19829999,2599
-1.87319994,0.61289996,-0.0429,2619
-1.92559993,1.66139996,0.0467,2639
-1.9727999,2.24619985,0.38139999,2659
-1.7227999,2.16240001,0.4869,2679
-1.72009993,2.0388,0.5201,2698
-1.49049997,1.74419999,0.74059999,2719
-2.02839994,0.90889996,1.39899993,2739
-2.06669998,0.1162,1.72920001,2759
-1.88329995,-0.2728,2.39599991,2780
-1.25929999,-0.5783,2.63769984,2800
-0.65459996,-0.6688,2.75239992,2820
-0.4849,0.4174,2.14030004,2840
-0.36699998,1.29869998,2.07349992,2860
-0.124,1.5108,2.01129985,2880
-0.1373,1.00339997,1.9483,2900
-0.2101,0.15169999,1.9332999,2920
-0.1113,-0.56009996,2.05449986,2940
0.37759998,-1.14789999,2.20919991,2960
0.95829999,-1.33819997,2.05130005,2980
1.04879999,-1.7191,1.27069998,3000
0.61729997,-2.13069987,1.07990003,3020
-0.2007,-2.20079994,0.75349998,3040
-0.54530001,-1.87290001,0.21519999,3059
-0.26199999,-1.62339997,-0.2401,3080
-0.0082,-1.37150002,-0.3285,3100
0.32799998,-1.32270002,-0.0185,3120
0.83459997,-1.08060002,0.1768,3140
1.29329991,-0.6117,0.13069999,3160
2.00880003,-0.0315,-0.0115,3180
2.09940004,0.44939998,-0.0284,3200
2.09329987,1.301,-0.0118,3220
1.7112,2.21949983,0.0443,3240
1.73570001,2.27429986,0.2987,3260
1.31739998,2.31579995,-0.09779999,3280
0.56290001,3.43769979,-0.90819997,3300
-0.39229998,4.13929987,-0.63389999,3320
-0.92879999,2.89699984,0.0939,3340
-1.08369994,0.85709995,0.59389997,3360
-1.36070001,-1.28789997,0.1753,3380
-1.1523,-2.88629985,-0.22589999,3400
-0.58340001,-3.16639996,-0.78119999,3420
0.24259999,-2.19120002,-1.21350002,3440
0.37039998,-1.19499993,-1.50259995,3460
-0.0097,-0.18789999,-1.48329997,3480
-0.47229999,0.75009996,-1.39849997,3500
-1.00999999,1.09710002,-1.06059992,3520
-1.37489998,0.85469997,-0.70309997,3540
-1.53049994,0.24969999,-0.25,3560
-1.57799995,-0.37909999,0.0657,3580
-1.44760001,-0.8039,0.1787,3600
-1.33949995,-0.8635,0.1567,3620
-1.12469995,-0.56379998,0.055,3640
-0.8689,-0.183,-0.24569999,3660
-0.63839996,-0.018,-0.4052,3680
-0.79659998,0.0617,-0.3955,3700
-0.70910001,0.24759999,-0.55329996,3720
0.1301,0.2403,-0.54539996,3740
-0.0165,0.10879999,-0.43099999,3760
-0.1267,0.1375,-0.38529998,3780
0.2243,0.47779998,-0.32170001,3800
0.44709998,0.37219998,-0.391,3819
-0.0082,-0.0801,-0.2219,3839
-0.29189998,-0.3107,-0.34689999,3859
0.22639999,0.70959997,-1.06569993,3878
1.90479994,3.19739985,-1.22799993,3898
3.13539982,4.46519995,-0.2307,3918
2.66939998,3.43849993,0.78749996,3938
1.58179998,2.18939996,0.91399997,3958
0.60789996,1.01969993,0.95709997,3979
-0.73069996,-0.32209998,1.07309997,3998
-1.89899993,-2.36839986,1.30789995,4019
-2.0934999,-2.95059991,1.20819998,4038
-2.06809998,-2.35959983,1.25929999,4059
-1.37269998,-0.61699998,1.06459999,4079
-0.47939998,1.25109994,0.82129997,4099
0.4249,1.99989998,0.6232,4118
0.91359997,1.78209996,0.65179998,4138
1.19869995,1.04409993,0.60729998,4158
1.33889997,-0.0143,0.63159996,4179
1.22599995,-1.01339996,0.9048,4199
1.39230001,-1.66189992,0.89659995,4220
1.65859997,-1.97349989,1.00269997,4240
0.78729999,-1.54159999,1.41009998,4260
0.0076,-0.53829998,1.29329991,4280
-0.53529996,0.0077,1.20869994,4300
-0.33939999,-0.109,1.02129996,4320
-0.1718,-0.20799999,0.68720001,4340
-0.4145,-0.4614,0.29479998,4360
-0.64449996,-0.75150001,0.1416,4380
-0.57629997,-1.00220001,0.22999999,4399
-0.2649,-1.16869998,0.2393,4420
-0.1973,-0.75079995,-0.0006,4440
-0.0303,0.4425,-0.64089996,4460
0.4355,1.6846,-0.96889997,4480
0.52319998,1.77509999,-0.53200001,4500
-0.0317,0.71569997,0.0828,4520
-0.2895,0.1173,0.0064,4540
-0.2969,-0.0598,-0.28659999,4560
-0.41709998,-0.0173,-0.6196,4580
-0.4777,-0.0364,-0.67869997,4600
-0.7683,-0.46309999,-0.56849998,4620
-1.22850001,-0.84829998,-0.64590001,4640
