X,Y,Z,timestamp
0.08630371,-0.10894775,0.43652344,935
0.05279541,-0.09216309,0.42700195,938
0.04501343,-0.05282593,0.50683594,941
0.08337402,-0.0191803,0.54980469,948
0.10028076,-0.04055786,0.55712891,952
0.07403564,0.02182007,0.56201172,954
0.09674072,0.07696533,0.58837891,963
0.06811523,0.08831787,0.58789063,966
0.06567383,0.00926208,0.52734375,993
0.10638428,-0.04589844,0.49072266,996
0.13916016,-0.09033203,0.46533203,999
0.14001465,-0.05206299,0.4987793,1023
0.08807373,0.00291634,0.52001953,1026
0.08868408,0.04656982,0.52246094,1028
0.06756592,0.10064697,0.55712891,1053
0.05599976,0.10302734,0.56201172,1054
0.01320648,0.09686279,0.53417969,1056
0.08514404,0.059021000000000004,0.46289063,1083
0.16662598,-0.05917358,0.36376953,1084
0.08782959,-0.16760254,0.33154297,1086
-0.03143311,-0.14758301,0.40576172,1114
0.02641296,-0.03146362,0.51416016,1116
0.09838867,0.01039886,0.59375,1119
0.00784302,0.05108643,0.60546875,1144
0.09173584,0.16833496,0.66015625,1147
0.17028809,0.13000488,0.66943359,1150
0.20532227,0.03671265,0.62841797,1174
0.18798828,0.04220581,0.5625,1177
0.17907715,0.08868408,0.484375,1180
0.13854979999999997,0.10552979,0.46362305,1204
0.05966187,0.08734131,0.48510742,1207
0.10742188,0.02879333,0.47949219,1210
0.1920166,-0.02986145,0.40209961,1234
0.2565918,-0.08197021,0.31152344,1237
0.22717285,-0.07519531,0.24621582,1240
0.23486328,-0.06488037,0.16809082,1265
0.21850586,-0.09851074,0.06970215,1267
0.10675049,-0.10003662,0.02339172,1270
0.13781738,-0.11242676,-0.02510071,1295
0.16320801,-0.18395996,-0.052948,1298
0.18164063,-0.21704102,-0.05227661,1301
0.20300293,-0.26513672,-0.08184814,1325
0.25268555,-0.26147461,-0.05194092,1328
0.26391602,-0.23278809,-0.00652695,1330
0.14416504,-0.23059082,0.03414917,1355
0.12976074,-0.21923828,0.04931641,1358
0.23571777,-0.25170898,0.00305176,1361
0.23535156,-0.33081055,-0.04846191,1385
0.19421387,-0.37963867,-0.08544922,1388
0.19458008,-0.36132813,-0.07727051,1391
0.24169922,-0.27539063,-0.03146362,1415
