X,Y,Z,timestamp
-0.3213,-0.0678,0.60100001,14
0.0364,0.6728,0.45069999,34
0.5485,0.9375,0.42909998,55
1.06229997,0.53329998,0.49409997,74
1.18289995,0.1689,0.11629999,94
0.82359999,0.42159998,0.42909998,114
0.8811,0.1104,0.2287,134
0.85780001,-0.27629998,-0.58109999,154
0.3057,-0.17289999,-0.77149999,174
-0.31739998,0.0775,-0.53189999,194
-0.4752,-0.22139999,-0.0231,214
0.013,-0.154,0.20819999,234
0.2516,0.0318,0.0459,255
-0.1231,0.1285,0.24039999,274
0.026,-0.056,0.30719998,294
0.74009997,0.0612,-0.34759998,314
1.69359994,0.66549999,-0.0396,334
0.41669998,0.42199999,0.32080001,354
-0.68180001,-0.19219999,0.35349998,374
0.58309996,0.17,0.21359999,394
0.76099998,0.51289999,0.1114,414
0.39359999,0.40539998,0.1574,434
-0.1485,0.1911,0.0771,455
-0.1734,0.1043,0.21619999,474
0.0055,0.26449999,0.2395,494
0.23009999,0.37919998,0.1661,514
0.4386,0.30939999,0.0845,533
0.639,0.30849999,-0.1063,553
0.51230001,0.20829999,-0.12709999,573
0.25299999,0.1064,-0.0338,593
0.37149999,0.1337,0.1021,612
0.5776,0.252,0.235,632
0.38850001,0.36249998,0.0738,653
0.0639,0.4152,0.0135,672
0.0144,0.0479,0.2022,693
-0.0538,0.0948,0.24259999,712
0.11059999,0.2836,-0.084,732
-0.1576,0.22,-0.47589999,753
-0.1065,-0.0625,-0.35889998,772
-0.0476,-0.1724,0.0029,792
-0.37379998,-0.0011,-0.011,812
-0.7985,0.2217,-0.3028,834
-0.84489995,0.16319999,-0.64019996,854
-1.03869998,-0.31419998,-0.49019998,874
-1.52619994,-0.83489996,-0.53960001,894
-1.65359998,-0.88989997,-1.02170002,914
-1.65459991,-0.7597,-1.3168,934
-1.73819995,-0.67680001,-1.55400002,954
-1.60570002,-0.72189999,-1.40919995,974
-1.77629995,-0.58230001,-1.18120003,994
-1.66209996,-0.5661,-1.10290003,1014
-0.9375,-0.36759999,-1.22679996,1034
-0.47709998,-0.13,-1.05719995,1055
-0.5783,0.0906,-0.42269999,1074
-0.96609998,-0.12,-0.5783,1094
-0.65969998,0.09519999,-0.62519997,1114
0.064,0.23809999,-0.3283,1134
0.25,0.5068,-0.07009999,1154
-0.0085,0.54089999,0.28889999,1174
0.12419999,0.46709999,0.55509996,1194
0.68559998,0.70319998,0.4481,1214
1.32260001,0.86549997,0.153,1234
1.95659995,0.75849998,0.50889999,1255
1.6480999,0.57049996,0.95449996,1274
1.29299998,0.64779997,0.17999999,1294
1.58299994,0.48289999,-0.0645,1315
