X,Y,Z,timestamp
-2.14648438,-0.55078125,-3.29101563,16
-1.98535156,-0.99951172,-3.08007813,20
-1.91503906,-1.5546875,-2.7109375,23
-1.58496094,-1.94238281,-2.34960938,36
-1.37695313,-2.37890625,-2.09375,40
-1.21972656,-2.57226563,-1.77929688,66
-0.8515625,-2.3046875,-1.80664063,70
-0.60839844,-2.41992188,-2.109375,74
-0.37255859,-2.79882813,-2.41992188,86
-0.00064325,-2.8984375,-2.640625,90
0.24023438,-2.97851563,-3.00390625,116
0.24035645,-3.25976563,-3.30859375,120
0.16882324,-3.47265625,-3.6640625,124
0.17700195,-3.46484375,-3.90625,136
0.21923828,-3.06054688,-3.88476563,140
0.06976318,-2.5078125,-3.91210938,166
-0.1907959,-2.19140625,-3.8671875,170
-0.34130859,-2.09375,-3.75585938,174
-0.65820313,-2.06835938,-3.66601563,186
-0.95410156,-1.98828125,-3.7578125,190
-1.28515625,-2.10351563,-4.12109375,216
-1.63769531,-2.18554688,-4.3359375,220
-1.74316406,-2.01367188,-4.19140625,224
-2.00195313,-2.24414063,-4.05859375,236
-1.859375,-2.54101563,-4.0390625,240
-1.65917969,-2.59179688,-3.94921875,267
-1.78320313,-2.640625,-3.8515625,278
-1.72753906,-2.43359375,-3.73632813,295
-1.46875,-2.12109375,-3.59375,300
-1.30957031,-1.96777344,-3.30664063,310
-1.13671875,-1.95214844,-3.13085938,314
-1.01464844,-1.94335938,-3.05273438,319
-0.93603516,-2.10546875,-2.98046875,323
-0.85644531,-2.35742188,-2.93164063,346
-0.83544922,-2.640625,-2.88085938,362
-0.98095703,-2.89453125,-2.84570313,379
-1.11816406,-3.00976563,-2.76171875,384
-1.10253906,-3.05078125,-2.64257813,396
-1.13867188,-3.01953125,-2.52929688,413
-1.21582031,-2.890625,-2.3359375,418
-1.43652344,-2.83789063,-2.33007813,430
-1.5703125,-2.6796875,-2.43554688,445
-1.80175781,-2.56640625,-2.51367188,463
-1.91601563,-2.4609375,-2.59179688,468
-2.02539063,-2.40625,-2.66015625,480
-2.0546875,-2.53515625,-2.76757813,497
-2.1328125,-2.33007813,-2.94335938,514
-2.359375,-1.84765625,-2.97460938,531
-2.54492188,-1.44335938,-2.98046875,536
-2.8984375,-1.48046875,-3.07421875,540
-3.41015625,-1.90722656,-2.9140625,548
-3.58203125,-2.04492188,-2.63476563,564
-3.52929688,-1.94238281,-2.53710938,580
-3.49023438,-2.05078125,-2.51367188,598
-3.2265625,-2.296875,-2.40429688,619
-2.7890625,-2.50976563,-2.3671875,624
-2.47851563,-2.84375,-2.1015625,628
