X,Y,Z,timestamp
0.34219998,-0.0652,-0.0013,12
0.47639999,-0.0216,-0.31900001,33
0.2024,0.38599998,-0.50220001,53
-0.0123,0.0207,-1.02559996,73
0.94659996,0.31209999,-0.92409998,93
0.31759998,0.42469999,1.08389997,113
-1.34289992,0.64319998,0.235,132
-0.71599996,0.87979996,0.0156,153
-0.1575,1.34089994,-0.2101,173
0.31889999,1.28869998,-0.61390001,194
0.62299997,0.70999998,-0.54699999,213
0.42609999,0.0724,-0.38869998,233
0.70209998,0.1127,-0.88699996,253
1.33729994,0.2922,-0.9964,272
1.63309991,0.33759999,-1.01059997,293
1.52520001,0.21609999,-0.99049997,312
1.15109992,-0.3177,-0.66909999,332
0.56339997,-0.64739996,-0.4948,352
0.3538,-0.52739996,-0.65880001,371
0.58629996,-0.37359998,-0.76440001,392
0.70339996,-0.47819999,-0.68619996,411
0.50159997,-0.70300001,-0.62239999,431
0.22729999,-0.87540001,-0.54710001,451
0.17459999,-0.76679999,-0.52329999,471
0.30840001,-0.52849996,-0.39989999,491
0.54579997,-0.3073,-0.676,511
0.2877,-0.68089998,-0.93829995,532
0.1161,-0.84789997,-0.63519996,552
0.1513,-0.76199996,-0.2446,572
0.3565,-0.45859998,-0.20469999,593
0.39999998,-0.4113,-0.3768,612
0.1135,-0.48719999,-0.47139999,632
-0.18009999,-0.55360001,-0.38149998,652
-0.2471,-0.40009999,-0.53759998,672
-0.0575,-0.28799999,-0.3118,693
-0.2313,-0.28039998,0.32170001,713
-0.4052,-0.0555,0.3924,733
-0.15179999,0.3362,0.26749998,752
0.0778,0.42929998,0.36139998,772
0.0521,0.46719998,0.28299999,793
-0.0188,0.70840001,0.2942,812
-0.26429999,0.73890001,0.86769998,832
-0.37239999,0.3989,0.90529996,853
0.0021,0.58660001,0.50129998,872
0.52139997,0.63169998,0.0683,893
0.58379996,0.50010002,-0.0941,912
0.0902,0.35099998,-0.1104,932
-0.2245,0.3075,-0.0713,952
-0.2243,0.31669998,-0.0349,972
-0.20039999,0.226,0.0144,993
-0.4021,0.1002,0.0703,1012
-0.97189999,0.2184,0.55909997,1033
-0.56650001,0.42379999,0.53490001,1056
0.52829999,0.419,0.138,1072
1.10009992,0.53859997,-0.278,1093
0.6785,0.64910001,0.0184,1112
-0.0589,0.37819999,0.33879998,1132
-0.22589999,0.55559999,0.42109999,1152
-0.1998,0.95539999,0.44389999,1172
0.0445,1.05369997,0.44949999,1193
0.27410001,1.23029995,0.47659999,1212
0.5226,1.00520003,0.34869999,1232
0.24159999,0.46919999,1.0776,1252
-0.5151,0.0213,1.29619992,1272
-0.48339999,0.0181,0.92219996,1292
0.0233,0.2181,0.2481,1313
0.2149,0.12029999,-0.3865,1332
0.182,-0.18279999,-0.4948,1353
0.3581,-0.53380001,-0.46629998,1372
0.60979998,-0.509,-0.89569998,1393
0.87369996,-0.39339998,-0.91969997,1413
0.64809996,-0.82479995,-0.79109997,1433
0.3233,-0.95659995,-0.53209996,1452
0.60789996,-0.81019998,-0.57839996,1472
0.67759997,-1.0553,-0.91829997,1493
0.64959997,-0.9641,-1.26039994,1512
0.23649999,-0.4691,-1.18099999,1533
-0.15539999,-0.1506,-0.72130001,1552
-0.30089998,-0.24529999,-0.26139998,1572
-0.1708,-0.634,-0.69919997,1593
-0.0364,-0.71179998,-1.04139996,1613
0.29719999,-0.4488,-1.10459995,1633
0.40979999,-0.289,-0.54679996,1652
0.61089998,-0.20029999,0.023,1673
0.9975,0.12459999,0.0747,1692
0.62199998,0.68409997,-0.0143,1712
-0.2332,0.55909997,0.28639999,1732
-0.97749996,0.4664,0.32269999,1752
-1.00189996,0.44599998,0.20909999,1772
-0.62,0.2357,0.22549999,1793
-0.41459998,0.26629999,0.0711,1812
0.0441,-0.058,0.13169999,1832
-0.1917,-0.1604,0.1592,1852
-0.25599998,-0.1665,0.27579999,1873
-0.1052,-0.0402,0.1514,1893
0.0286,0.0176,-0.0226,1912
0.0366,-0.1016,-0.0836,1932
-0.0639,-0.24259999,-0.14649999,1952
-0.063,-0.28709999,-0.16059999,1972
0.0118,-0.19479999,-0.12619999,1993
0.0929,-0.1603,-0.0598,2012
0.086,-0.1973,0.0477,2033
0.10349999,-0.1049,0.0135,2053
0.0574,-0.0045,0.0741,2072
0.0153,0.0464,0.067,2093
0.0452,0.0177,0.13249999,2112
0.0746,-0.0293,0.21079999,2132
0.13429999,0.0598,0.07,2152
0.22569999,0.1148,-0.0981,2172
0.23719999,0.0795,-0.1086,2193
0.1529,0.1155,-0.0236,2213
0.07099999,0.0797,0.1065,2232
-0.0671,-0.0964,0.1821,2252
-0.13339999,-0.1138,0.1095,2273
-0.0724,0.0549,-0.0468,2293
0.1476,0.3344,-0.0749,2312
0.1488,0.34999999,-0.0991,2332
0.0927,0.2349,-0.1071,2387
-0.0057,-0.0293,-0.109,2392
0.0336,0.0495,-0.0343,5402
0.47529998,0.1363,-0.50949997,5403
0.26519999,0.16839999,-1.07239997,5404
-0.18439999,-0.0061,-1.3937,5405
0.0508,-0.51980001,-0.92089999,5406
0.113,-0.13859999,-1.00189996,5407
0.1206,-0.19029999,-1.24059999,5408
-0.17749999,-0.4637,-1.58949995,5409
0.6311,0.44499999,-2.19190001,5410
0.47979999,0.55839998,-1.26529992,5411
-0.62459999,1.25059998,-1.34859991,5412
-1.17779994,0.96829998,-0.72929996,5413
