X,Y,Z,timestamp
0.34448242,-2.07617188,-1.37304688,4
0.32470703,-2.03515625,-1.546875,8
0.29833984,-1.3125,-1.44921875,16
0.3269043,-0.31469727,-1.28027344,21
0.35766602,0.70117188,-1.32519531,37
0.07788086,0.94140625,-1.36230469,61
-0.11981201,0.43212891,-1.42089844,72
0.00160599,0.06051636,-1.63769531,77
0.02629089,-0.08099365,-1.73925781,87
-0.01393127,-0.21374512,-1.57324219,93
0.00763321,-0.22839355,-1.46875,96
0.00280952,0.23144531,-1.29785156,99
-0.04342651,0.83056641,-1.14160156,124
-0.12927246,1.02734375,-0.87939453,127
-0.04391479,0.89990234,-0.74951172,131
0.09918213,0.81591797,-0.67236328,156
0.14074707,0.48266602,-0.59570313,160
0.12658691,-0.06933594,-0.703125,163
0.07769775,-0.20336914,-0.46826172,177
-0.03833008,0.28100586,-0.28979492,181
-0.09881592,0.81835938,-0.13098145,203
-0.10278319999999999,1.01171875,0.10284424,206
0.16516113,0.93994141,0.15393066,210
0.53222656,0.65917969,0.00841522,234
0.71679688,0.38647461,0.12548828,237
0.70800781,0.08923339999999999,0.63183594,239
0.5390625,-0.27392578,1.11523438,265
0.4675293,-0.38818359,1.68359375,268
0.46630859,-0.21154785,1.71191406,271
0.43774414,0.01885986,1.69726563,297
0.48632813,0.21618652,1.74121094,301
0.50537109,0.19335938,1.93847656,304
0.29272461,-0.61376953,1.96875,315
0.28833008,-0.57080078,2.15039063,319
0.16711426,-1.25585938,1.80859375,347
0.16101074,-1.43847656,1.92871094,348
0.14465332,-1.46777344,1.79394531,350
-0.00491333,-1.33300781,1.62207031,376
-0.13391113,-1.23339844,1.60546875,378
-0.41015625,-1.22460938,1.60449219,382
-0.62304688,-1.17480469,1.64355469,408
-0.61474609,-0.80126953,1.2109375,413
-0.68017578,-0.29003906,0.77734375,417
-0.70410156,0.41162109,0.26025391,428
-0.76220703,1.3828125,0.20336914,432
-1.01171875,1.58789063,0.53271484,455
-1.21875,1.15136719,0.59228516,456
-1.22851563,0.88134766,0.3972168,457
