X,Y,Z,timestamp
-1.63378906,0.06030273,-2.43359375,19
-1.47167969,0.56689453,-2.38476563,21
-1.27929688,1.171875,-2.08984375,22
-1.28125,1.4609375,-1.6171875,49
-1.39648438,1.12304688,-1.54199219,51
-1.48046875,0.34716797,-1.98632813,52
-1.63671875,-0.22033691,-2.703125,80
-1.80078125,-0.10845947,-2.74414063,81
-2.02148438,0.35522461,-2.16992188,83
-2.21875,0.58544922,-1.58300781,110
-2.33007813,0.59228516,-1.41992188,111
-2.30859375,0.44287109,-1.53613281,113
-2.28320313,0.1282959,-1.75,140
-2.18945313,-0.10992432,-1.98828125,142
-2.078125,0.01843262,-1.59082031,143
-2.09960938,0.10327148,-1.00976563,171
-2.15429688,-0.18408203,-0.72460938,172
-2.09375,-0.43823242,-0.60058594,173
-2.078125,-0.32666016,-0.640625,201
-2.11914063,-0.16491699,-0.84033203,202
-2.11914063,-0.17126465,-1.04394531,204
-2.20703125,-0.27734375,-0.99609375,231
-2.21484375,-0.18725586,-1.11132813,233
-2.12109375,-0.39111328,-1.16796875,235
-2.10546875,-0.96191406,-1.30078125,262
-1.94921875,-1.21386719,-1.61328125,263
-2.19921875,-1.25683594,-1.74609375,265
-2.69140625,-1.32421875,-1.1875,292
-2.98828125,-1.29394531,-0.51416016,293
-2.37109375,-0.30419922,-0.12841797,294
-1.93261719,0.36132813,0.11566162,322
-2.10351563,-0.26098633,0.01408386,323
-2.41992188,-0.6484375,0.28173828,324
-2.80078125,-0.4230957,0.34765625,352
-3.02539063,-0.02255249,0.06039429,353
-3.28515625,-0.42993164,-0.13354492,355
-3.42578125,-0.75341797,-0.12939453,382
-3.203125,-0.02758789,-0.21838379,383
-3.04101563,0.24938965,0.0637207,385
-3.1484375,-0.02984619,0.43530273,412
-3.06054688,-0.04592896,0.41430664,414
-3.00390625,0.45922852,0.24963379,415
-3.22851563,0.74414063,0.05108643,442
-3.40234375,0.47265625,-0.05157471,444
-3.765625,0.25,0.08093262,445
-3.9375,0.32617188,0.14355469,473
-3.92773438,0.41210938,0.1050415,474
-3.8203125,0.41357422,0.26391602,475
-3.30078125,0.82666016,0.43676758,503
-2.62695313,1.84667969,0.11627197,504
-2.33789063,2.67773438,-0.27636719,506
-2.24609375,2.80664063,-0.50585938,533
-2.45703125,2.09570313,-0.69775391,534
-2.44140625,1.85449219,-1.18457031,536
-2.49414063,1.69921875,-1.16503906,563
-2.45117188,1.78027344,-0.91210938,565
-2.10351563,2.10351563,-1.07714844,566
-1.98242188,2.08203125,-0.92626953,594
-1.57421875,1.69726563,-1.21875,595
-1.03417969,1.359375,-1.50097656,596
-0.64599609,2.96875,-2.20507813,624
-0.70410156,2.140625,-1.87988281,625
-0.83300781,1.0234375,-1.20605469,627
-0.40478516,1.08105469,-0.60107422,654
-0.65673828,1.09960938,0.09100342,655
