X,Y,Z,timestamp
2.99545193,0.03512287,-1.06727767,45
2.07137489,1.0386591,-0.27767432,103
-0.16572109,-0.45731640000000007,0.07119143,161
-1.47503591,-0.02909851,1.02826095,217
-1.07318258,-1.38362503,0.83804154,275
-0.00687006,-1.42610264,-0.14674127,333
0.61783832,-0.52756119,1.29039013,393
1.00675535,-0.26098728,0.10910285,450
2.03162551,-0.39331055,0.77849948,507
1.44635701,-0.32704926,0.57694614,564
0.45672953,2.18843746,1.45759523,624
0.65433741,-1.0284729,-0.86464709,681
-0.42166206,0.35338211,-0.15578771,740
-1.21284139,0.18155479,-1.00490141,796
-1.09547794,-0.42426586,-0.61427653,855
-1.1227354999999999,-0.255723,-0.18293548,912
-1.0742352,-0.21390533,0.47976387,971
-0.71557552,-0.19258785,0.9115966000000001,1027
-1.0294590000000001,-0.28810883,0.59922969,1085
-1.49770296,-0.42592335,1.07776093,1144
-2.33016539,-0.74701214,1.00935876,1203
-1.51951218,-0.59551716,0.79420787,1262
-0.39308602,-0.119874,0.90957636,1318
-1.08787727,1.26528072,-0.52812624,1376
0.38165289,2.98163033,-1.21633339,1433
1.03564894,-0.06516171,-1.49045706,1492
-0.6791864000000001,0.3344183,-1.9162240000000001,1549
-0.80330956,1.27200031,-1.38352406,1607
0.48987061,-1.47398424,-0.48272657,1664
-0.55094886,-1.06278992,-0.07277012,1722
-0.01431584,-1.47913647,0.25892806,1781
0.20423087,-1.06397343,0.7466507,1838
0.42293876,-0.40611458,0.7497201,1895
1.19481111,-0.71024799,1.10292387,1953
1.40512908,-0.91133595,2.02126002,2011
0.76478624,4.36047554,1.68516994,2069
-1.9931438000000001,-3.16914701,0.70714021,2127
-0.48418492,2.81922913,-0.88385761,2186
-0.10230654,-1.07349586,-2.51075935,2243
-0.32448822,-0.7191,0.58080649,2302
-1.26026034,-1.03444195,-1.00536001,2358
-0.64934576,-0.42070866,1.17869341,2417
-0.79176801,-0.32038307,0.69378906,2474
-0.7112366,-0.43593884,0.96977067,2533
-1.29935467,-0.65144825,0.97429389,2591
-0.85342163,-0.23183918,0.33368981,2649
-2.62593174,3.12893486,-1.13033152,2707
-0.1122402,2.61894035,-2.99098015,2763
1.34456182,0.02359581,-0.61431873,2820
-1.46868634,2.12475681,-3.02367425,2878
1.29353929,-0.59658527,-2.22037339,2936
1.0011965,-1.48954344,0.32995677,2993
-0.38502491,-2.28157568,-2.62690949,3051
0.45308876,-1.98324776,1.17098832,3110
-0.86977518,0.66847229,0.65325427,3169
0.00090921,-0.56083202,2.64234686,3227
-0.60078704,3.77743816,0.20786834,3285
0.37396514,1.47732925,-1.19878244,3342
1.59427512,-2.38253641,-0.59986424,3401
-1.73225057,1.43575573,-4.61010075,3457
0.49404031,-0.25827599,-0.02290177,3516
0.21106985,0.34206486,-0.36138153,3573
-0.22508562,0.00954056,-0.02063882,3631
-0.44500661,-0.10334015,-0.70443541,3690
-0.31177238,0.20445442,0.25645328,3746
-0.47194937,0.13188267,0.03918338,3805
-0.15275496,0.06032276,-0.01907361,3863
-0.16080749,0.10036469,0.52349734,3923
0.32212517,-0.24429417,-0.34061581,3979
1.24672294,-0.1598568,-0.42802936,4037
0.43192852,0.22143841,-0.26596022,4094
-0.01813167,0.04095554,-0.13340154,4152
0.16052081,0.05920601,0.04753527,4210
-0.11970025,0.01037216,0.09240615,4268
0.32033136,0.01957989,0.0576044,4327
0.63026941,-0.00206375,0.15377247,4384
0.14551371,-0.05426121,0.02387595,4442
-0.05086907,0.0188446,0.17137647,4500
-0.06554860000000001,0.0382719,0.21334928,4557
-0.18432759,-0.01151752,0.34481490000000004,4614
-0.30283907,-0.08651447,0.35387498,4672
0.09062959,0.04945564,0.21028763,4732
0.52664757,0.06189919,0.15120965,4788
0.55886358,-0.07484055,0.13894552,4847
0.29811302,-0.06691265,0.05700845,4904
-0.14598602,-0.07151699,0.16671175,4961
-0.57551128,-0.00720978,0.16971517,5020
-0.57230455,0.06744003,0.2852059,5078
-0.28264502,-0.01534653,0.22126842,5138
0.19050515,0.04957485,0.16636801,5193
0.28626069,0.02744198,0.09491485,5252
0.01452515,-0.03673172,0.03935671,5309
-0.19209918,0.01692009,0.01584613,5366
-0.24003123,0.03752804,0.00595462,5425
-0.01723941,-0.02646255,0.02483624,5482
0.22575769,0.04417992,0.03411108,5541
0.20439234,0.04388523,0.01424903,5600
0.12905729,0.03010845,0.04746801,5657
-0.00532779,0.03323746,0.0783425,5714
-0.13646898,0.0003252,0.10076249,5772
-0.01918586,-0.08315659,0.01444334,5836
0.01994458,-0.10464287,-0.01815188,5886
-0.12552245,-0.01864719,-0.05366164,7904
-0.24594969,0.01487446,0.04954678,7905
-0.43552184,0.05567741,0.05433315,7906
-0.20371029999999998,0.03418636,-0.06317163,7907
0.12641332,-0.05705452,0.07917798,7908
0.2757223,0.0002861,-0.01384163,7909
0.23572609,-0.01383209,0.01211977,7910
-0.09334642,0.0061512,-0.04262936,7911
-0.28912097,-0.03023624,0.01468146,7912
-0.02700374,0.07474327,-0.07629097,7913
0.3823002,0.01323414,0.36787224,7914
0.306665,-0.21707153,0.62802219,7915
0.49336594,-0.4026289,0.44052017,7916
1.12127948,0.48634434,0.26336038,7917
0.15226728,1.13047886,0.29877209999999993,7918
-0.46668661,0.19680119,-0.4324832,7919
-0.42424428,0.04165363,0.08630252,7920
-0.39187026,-0.14508724,-0.38553673,7921
-0.74689519,-0.034091,-0.36353451,7922
-1.09797406,-0.17263603,-0.5518105,7969
-0.9802767,-0.13247776,-0.75663543,8026
-1.1682688,-0.04619312,-0.5658536,8084
-0.54594213,0.52304745,-0.65824622,8143
1.28112316,0.09742641,-0.74600649,8201
3.10967898,1.3374567,2.6072073,8259
0.7401948,2.40311432,1.36020398,8316
2.13127232,-1.23999977,-0.69947577,8374
2.11725616,-1.03495598,0.61812854,8432
0.00943184,-0.57960033,-1.07505,8493
0.77708411,-1.26986504,0.25115442,8550
0.24724174,-0.72961426,0.08097410000000001,8608
0.20067716,0.29451752,1.03709793,8664
0.0971241,0.20297813,1.8061173,8723
1.80204248,6.19899654,0.60795689,8780
2.60683084,-3.04926729,1.87416363,8838
1.30057275,1.47619343,-2.52562547,8897
2.3638258,-0.84596157,-0.81381691,8953
1.44845808,0.15633106,0.33934605,9012
0.55195427,-0.69105148,0.10256487,9068
0.05300605,-0.36856174,-0.19912603,9129
0.1556409,-0.34462738,1.04183662,9187
-1.07050014,-0.89520073,0.29663962,9243
-0.08436477,0.61173344,-0.02557603,9302
1.1035831,5.27024269,-2.32810235,9359
4.4589653,1.81983852,-1.82283258,9418
2.24910307,0.84445286,0.31333733,9475
-0.42390203,0.15677357,-2.86102057,9532
2.18518257,-3.27294493,0.27590322,9590
0.87894201,-2.69977808,1.56469369,9647
0.7312268,-3.50136995,0.39201319,9708
0.63061178,2.27885056,1.29829049,9764
-3.24959373,1.33259201,2.01418591,9822
2.66808176,6.10700893,0.34444201,9881
3.88167143,-3.23592615,3.36512995,9937
0.13451612,0.30474472,-4.90168047,9995
2.48914337,0.28582096,2.89944696,10052
0.00692451,-0.10440731,-1.5943507,10111
0.39366943,0.05681324,-0.0582875,10168
-0.55492991,-0.02566433,-0.51172686,10227
-1.37816238,-0.44829559,-0.93129474,10286
-0.97232783,-0.53591061,-1.32225013,10342
0.26894233,0.58796978,-1.07740259,10401
0.89225149,0.85091591,-2.56835961,10458
1.40247631,3.2934351000000004,0.61967778,10515
0.94197571,-1.9711584999999998,2.07118154,10573
-0.90502274,-1.88730621,2.21994686,10631
-0.68926501,-1.69750357,2.48156118,10690
-0.50003904,-1.6708764999999999,2.4658041,10747
-0.44686353,-0.46259880000000003,2.05190802,10804
-0.08444750000000001,0.73910999,1.41357243,10862
0.02320939,1.044034,1.46587467,10921
-0.63066834,0.15967083,0.52727407,10978
-0.21183366,-0.31824684,-0.11891925,11036
-0.17118591,0.49692345,0.39496326,11094
-0.14581615,0.27606869,0.281618,11151
-0.49015728,-0.19945335,-0.56073529,11210
-0.49307561,0.21619129,-0.10886997,11268
-0.3124004,0.19494534,-0.22274584,11326
-0.53191793,-0.025981900000000002,-0.39237869,11383
-0.04814607,0.04905033,-0.12967384,11442
-0.05725574,0.12364006,-0.01618344,11499
-0.30786347,0.06800652,0.06274456,11557
-0.49551031,0.12374020000000001,0.21191829,11615
-0.28114581,0.19564342,0.21853662,11672
0.21135902,-0.01578808,0.02534401,11731
0.19486117,-0.06621361,-0.00450939,11788
-0.12828565,-0.00322723,0.07348782,11846
-0.16772294,0.0249424,0.27810889,11904
-0.19893038,0.02842903,0.13383287,11961
0.02015269,0.02859402,0.14777756,12020
0.12121153,0.02079582,0.08693022,12077
0.11651421,0.01914406,0.08514744,12136
0.09586513,0.01603222,0.05597854,12193
0.01521409,-0.04156113,0.11008447,12252
0.02640617,0.00968933,0.11360508,12309
0.14623725,0.04907513,0.14063686,12367
0.0008142000000000002,-0.01546955,0.07397884,12425
-0.02192384,-0.00764275,0.05195612,12484
-0.25550103,0.00114346,0.18396616,12541
0.13003266,0.13229179,0.10242671,12600
0.38074142,0.03713226,0.3648355,12656
0.00919557,0.0016098,0.34344971,12714
