X,Y,Z,timestamp
1.28808594,0.08728027,0.15368652,2
1.09960938,0.11871338,0.25244141,5
0.76513672,0.20556641,0.50146484,8
0.56982422,0.29858398,0.64306641,32
0.59375,0.38330078,0.77392578,35
0.74560547,0.30078125,0.77001953,38
0.81542969,0.19592285,0.67626953,63
0.70605469,0.18347168,0.53759766,65
0.46533203,0.24902344,0.41210938,68
0.25610352,0.36254883,0.32202148,93
0.23999023,0.30322266,0.23083496,96
0.01843262,0.20837402,0.14135742,98
-0.31225586,0.23315429999999995,0.05703735,123
-0.49902344,0.05285645,-0.05206299,126
-0.85644531,0.19323729999999997,0.02316284,129
-0.72363281,0.27954102,0.13671875,153
-0.77148438,0.26513672,0.29223633,156
-0.72412109,0.18347168,0.4362793,159
-0.66503906,0.22314453,0.47314453,184
-0.55371094,0.17614746,0.46264648,186
-0.28759766,-0.03186035,0.52832031,189
-0.03094482,-0.31005859,0.55273438,214
0.13537598,-0.39526367,0.57324219,216
0.18762207,-0.30444336,0.47314453,219
0.28051758,-0.09606934,0.39868164,244
0.43383789,0.18627929999999998,0.34277344,247
0.55419922,0.38867188,0.22888184,250
0.62597656,0.67041016,0.21520996,274
0.75634766,0.71826172,0.04989624,277
0.75244141,0.6484375,0.02870178,280
0.71191406,0.51367188,0.02478027,304
0.83447266,0.30493164,0.03222656,307
0.97900391,0.24182129,0.18872070000000002,310
0.89160156,0.2668457,0.35522461,334
0.77929688,0.25683594,0.50146484,337
0.61962891,0.16894531,0.54248047,339
0.51953125,0.11218262,0.49194336,365
0.28149414,0.21704102,0.32763672,368
0.12298584,0.23876953,0.02418518,371
0.34179688,0.2878418,-0.05984497,395
0.484375,0.37451172,0.2590332,398
0.29589844,0.4206543,0.63525391,401
0.01198578,0.31811523,0.8203125,425
-0.29711914,0.24755859,0.99316406,428
-0.57617188,0.20593262,0.98583984,431
-0.86328125,0.02044678,0.78466797,455
-0.8203125,-0.24475098,0.43359375,458
-0.46630859,-0.31054688,0.08685303,461
-0.12670898,-0.28393555,-0.13024902,486
0.00312424,-0.03479004,-0.27172852,488
-0.2401123,0.20141602,-0.34985352,491
-0.97558594,0.71679688,-0.07757568,516
