X,Y,Z,timestamp
-0.0645,0.0559,-0.0255,0
-0.2384,0.0015,-0.0687,20
-0.2251,0.0013,-0.0449,40
0.1003,0.083,-0.0642,59
-0.0084,0.0097,-0.0519,80
0.1384,0.1812,0.0061,100
0.17099999,0.12249999,0.14,120
0.0932,-0.0443,0.2113,140
-0.1191,-0.0407,0.15019999,160
-0.3055,-0.09339999,0.0843,180
-0.5855,-0.0581,0.0469,199
-0.8775,-0.1804,0.0,219
-1.17180002,-0.1143,-0.0365,239
-1.30219996,0.1441,-0.0085,260
-1.37839997,0.1003,0.0351,280
-1.70809996,-0.1256,0.0066,300
-2.05480003,-0.1425,-0.2784,320
-2.3757,0.24869999,-0.6753,339
-2.47619987,0.54539996,-0.84539998,360
-2.41349983,0.4215,-0.80339998,381
-2.5869,0.38499999,-0.7367,400
-2.47549987,0.89029998,-0.84829998,420
-1.44190001,0.4007,-0.71579999,439
-1.48369992,-0.0414,-0.7137,459
-1.75989997,0.8757,-0.59969997,480
-1.65979993,1.93489993,-0.93809998,501
-1.17079997,1.35939991,-1.03569996,520
-1.06889999,0.5952,-0.75689995,540
-0.75989997,0.22379999,-0.19669999,560
-0.81949997,0.81279999,0.0354,580
-0.1346,1.5812999,0.35639998,600
1.19309998,1.63489997,0.86969995,620
1.72839999,2.0402,1.07539999,640
1.53659999,2.48899984,1.00849998,660
1.22389996,1.94389999,0.6785,680
0.82449996,1.30110002,0.242,699
0.7403,0.69099998,0.21499999,720
1.75209999,0.8344,-0.26299998,740
2.29799986,0.8549,-0.2877,760
2.93149996,0.35499999,-0.1382,780
2.31399989,0.153,-0.26350001,800
1.61089993,0.2277,-0.37279999,819
1.11339998,0.2613,-0.42449999,840
0.77679998,0.52880001,-0.36409998,860
0.60799998,0.87939996,0.0129,880
0.52829999,1.18839991,0.55509996,900
0.1486,1.22459996,0.82639998,918
-0.44399998,1.48079991,1.10589993,938
-1.02149999,1.67030001,1.18610001,959
-1.32019997,1.58249998,1.25039995,980
-1.09469998,1.33829999,1.34490001,998
-1.01600003,0.9716,1.4325,1018
-1.10469997,0.33089998,1.19059992,1038
-1.03960001,0.1337,0.87479997,1058
-0.4368,0.0184,0.48369998,1079
0.27849999,0.0692,0.4262,1100
0.86269999,0.1222,0.30469999,1118
1.22369993,0.0867,0.1095,1138
1.17989993,-0.0576,0.0402,1159
1.08319998,-0.40019998,0.0829,1179
0.91689998,-0.77219999,0.2184,1199
0.91729999,-1.12660003,0.2377,1220
0.90979999,-1.36559999,0.1032,1239
1.07139993,-1.42589998,-0.0484,1260
1.1911,-1.20809996,-0.03,1280
1.55599999,-0.97779995,-0.011,1300
1.72479999,-0.79579997,0.0649,1320
1.64539993,-0.33699998,0.0231,1340
1.36489999,-0.1069,-0.0961,1360
1.31799996,-0.0496,-0.1682,1380
1.27999997,-0.0751,-0.23519999,1400
1.3075,-0.25059998,-0.32969999,1420
1.18269992,-0.4858,-0.3071,1439
1.20410001,-0.94949996,-0.31889999,1460
1.06869996,-1.34869993,-0.32729998,1480
1.05429995,-1.43299997,-0.40149999,1500
0.88459998,-1.28259993,-0.4391,1520
0.73649997,-1.18509996,-0.55409998,1539
0.34599999,-1.17089999,-0.60589999,1560
0.0425,-1.1947,-0.75229996,1581
-0.21759999,-1.03069997,-0.95190001,1600
-0.43989998,-0.71639997,-1.5532999,1619
-0.53429997,0.4418,-2.23810005,1639
-0.0927,1.11089993,-3.42279983,1659
0.3734,1.19029999,-3.87789989,1680
-0.18699999,0.98609996,-3.94859982,1700
-1.40170002,0.7676,-3.6560998,1720
-2.45280004,0.57749999,-3.38209987,1739
-2.74720001,0.24169999,-2.91619992,1760
-2.95840001,0.1002,-2.63820004,1780
-2.75519991,0.243,-2.11529994,1799
-2.85220003,0.87299997,-1.9533999,1820
-2.00559998,1.37299991,-1.77749991,1839
-1.19599998,1.42689991,-1.68629992,1859
-0.58399999,1.29449999,-1.56489992,1880
-0.3874,0.95809996,-1.40409994,1899
-0.09209999,0.1372,-1.18989992,1920
-0.2105,-0.0397,-1.43019998,1940
-0.41849998,0.0778,-1.95109999,1959
-0.3053,0.3179,-3.05379987,1980
-0.59189999,0.62769997,-3.50519991,2000
-1.95519996,0.88679999,-3.56329989,2020
-2.37170005,0.68329996,-2.52409983,2039
-2.25609994,0.1215,-1.31029999,2060
-1.75459993,-0.53259999,-0.22469999,2080
-1.40909994,-0.58849996,0.12469999,2100
-0.94849998,-0.44889998,-0.0217,2120
-0.57849997,-0.235,-0.43969998,2140
-0.4456,0.1479,-0.829,2159
-0.7665,0.421,-1.21429992,2181
-1.10039997,0.27849999,-1.0747,2200
-1.29259992,-0.0136,-0.56900001,2220
-1.0704,0.0016,-0.28279999,2240
-1.00609994,0.0783,-0.28380001,2260
-0.96969998,0.1392,-0.54439998,2280
-0.9903,0.38619998,-0.94259995,2300
