X,Y,Z,timestamp
0.17016602,-0.83496094,2.05273438,10
0.23510742,-0.64794922,2.18164063,12
0.30029297,-0.47460938,2.21289063,15
0.34838867,-0.34472656,2.17773438,40
0.37426758,-0.31860352,2.12890625,42
0.40625,-0.2890625,1.97558594,45
0.40087891,-0.11981201,1.75,70
0.33105469,0.04275513,1.55859375,73
0.28979492,0.07885742,1.33300781,75
0.22399902,0.08929443,1.1328125,100
0.17150879,0.23449707,0.93847656,103
0.11260986,0.39233398,0.80908203,106
0.13757324,0.42529297,0.64501953,130
0.21740723,0.43652344,0.48120117,133
0.23620605,0.48217773,0.25097656,136
0.22912598,0.59667969,0.03726196,160
0.19812012,0.75537109,-0.18664551,163
0.15710449,0.93115234,-0.37060547,166
0.13720703,1.0390625,-0.54541016,191
0.19091797,1.14648438,-0.70703125,203
0.25830078,1.20410156,-0.82861328,206
0.29833984,1.265625,-0.95263672,210
0.28710938,1.24707031,-1.08789063,213
0.20800781,1.24121094,-1.11816406,241
-0.37646484,1.23632813,-1.30957031,244
-1.48242188,1.41308594,-1.90136719,247
-2.52734375,1.890625,-2.47070313,271
-3.01953125,2.50585938,-2.88085938,274
-2.625,2.9453125,-3.0390625,277
-1.47265625,2.93554688,-3.00585938,301
-0.47094727,2.58203125,-3.06054688,304
0.12854004,2.40039063,-3.01757813,307
0.54003906,2.43554688,-2.70703125,331
0.74560547,2.56054688,-2.25390625,334
0.71826172,2.66015625,-1.828125,337
0.4440918,2.50585938,-1.70996094,362
-0.12493896,2.09765625,-1.87695313,364
-0.93652344,1.67089844,-2.25390625,367
-1.77929688,1.51074219,-2.70117188,392
-2.42773438,1.71777344,-3.10742188,395
-2.71289063,1.97363281,-3.3515625,397
-2.81640625,1.96972656,-3.45507813,422
-2.65039063,1.78808594,-3.40625,425
-2.3046875,1.62109375,-3.19921875,428
-1.99804688,1.54394531,-2.78320313,452
-1.81347656,1.56933594,-2.16992188,455
-1.72851563,1.60546875,-1.64941406,458
-1.69238281,1.62890625,-1.31542969,482
-1.83691406,1.49316406,-1.26171875,485
-1.99609375,1.02734375,-1.46875,488
-2.27929688,0.30957031,-1.73535156,512
-2.27929688,0.30957031,-1.73535156,515
-2.5546875,-0.63378906,-2.16992188,518
-2.6953125,-0.80957031,-2.20703125,543
-2.79101563,-0.98388672,-2.04492188,560
-2.96289063,-1.14550781,-1.57519531,563
-3.07617188,-1.23828125,-1.41894531,567
-3.14453125,-1.11914063,-1.25292969,570
-3.08203125,-0.97167969,-1.15820313,593
-3.00585938,-1.04492188,-1.20605469,596
-2.96875,-1.24707031,-1.3515625,599
-3.04101563,-1.49511719,-1.51757813,623
-3.01367188,-1.58300781,-1.82226563,626
-2.984375,-1.625,-2.02929688,629
-3.140625,-1.59765625,-1.95507813,654
-3.25,-1.50195313,-1.67871094,656
-3.14648438,-1.56640625,-1.46289063,659
-3.00195313,-1.77832031,-1.36523438,684
-2.79882813,-1.89453125,-1.28515625,687
-2.56054688,-1.96972656,-1.27832031,689
-2.37109375,-1.94824219,-1.32421875,714
-2.22070313,-1.83691406,-1.36425781,716
-2.21875,-1.73144531,-1.3359375,719
-2.16601563,-1.50292969,-1.15722656,744
-2.11328125,-1.18066406,-1.03027344,747
-2.1640625,-0.96484375,-0.96630859,762
-2.18164063,-1.01855469,-0.98583984,774
-2.2421875,-1.27441406,-0.96386719,777
-2.24609375,-1.58886719,-0.87744141,780
-2.1171875,-1.75097656,-0.68115234,804
-1.95996094,-1.71972656,-0.5390625,814
-1.99414063,-1.63671875,-0.55126953,817
-2.18554688,-1.74511719,-1.23828125,824
-2.79882813,-2.27734375,-2.09960938,827
-3.23242188,-2.765625,-2.421875,855
-3.4375,-2.61523438,-2.296875,857
-3.3359375,-1.89453125,-1.58886719,860
-3.11328125,-1.17382813,-0.88476563,885
-3.046875,-0.75,-0.59570313,888
-3.06835938,-0.40649414,-0.48657227,891
-3.25195313,-0.16430664,-0.22595215,915
-3.29882813,0.09124756,-0.11553955,918
-3.2109375,0.2076416,-0.13720703,922
-3.16992188,0.19873047,-0.12854004,945
-3.0625,0.13037109,0.011367799999999999,948
-2.921875,0.19592285,0.23425293,952
-2.83203125,0.27563477,0.34033203,975
-2.84960938,0.13854979999999997,0.28393555,978
-3.03515625,-0.21142578,0.07696533,981
-3.27929688,-0.84667969,-0.22412109,1005
-3.625,-1.52539063,-0.43164063,1008
-3.80664063,-2.02148438,-0.57226563,1011
-3.80664063,-2.31640625,-0.58154297,1035
-3.70507813,-2.22460938,-0.44580078,1038
-3.453125,-1.88085938,-0.25366211,1041
-3.15234375,-1.43554688,0.00179958,1066
-2.72460938,-1.06835938,0.30688477,1068
-2.19140625,-1.00195313,0.59130859,1071
-1.72949219,-1.08300781,0.80224609,1096
-1.37695313,-1.1953125,0.97167969,1098
-1.18359375,-1.38476563,0.95703125,1101
-1.02832031,-1.58398438,0.86474609,1128
-0.859375,-1.70898438,0.72851563,1131
-0.74658203,-1.77832031,0.48266602,1134
-0.67626953,-1.6328125,0.26123047,1146
-0.64208984,-1.38085938,0.14099121,1149
-0.72900391,-1.2890625,0.12023926,1177
-0.79882813,-1.36621094,0.06323242,1186
-0.87451172,-1.57324219,0.02731323,1189
-0.92285156,-1.69433594,0.07006836,1197
-0.99121094,-1.74121094,0.0037632,1199
-1.0234375,-1.83496094,-0.05267334,1227
-0.98046875,-1.89160156,-0.27246094,1237
-0.89160156,-1.91210938,-0.49145508,1240
-0.74511719,-1.79296875,-0.72216797,1247
-0.65917969,-1.56640625,-0.78857422,1250
-0.66552734,-1.36914063,-0.68505859,1277
-0.79003906,-1.23046875,-0.52441406,1280
-0.97021484,-1.02539063,-0.40063477,1283
-1.10546875,-0.91650391,-0.3828125,1307
-1.27929688,-1.10351563,-0.49487305,1310
-1.50488281,-1.40332031,-0.79638672,1313
-1.67675781,-1.71777344,-1.13085938,1338
-1.69335938,-1.80761719,-1.3671875,1340
-1.63769531,-1.37988281,-1.34472656,1343
-1.65917969,-1.02148438,-1.03515625,1368
-0.92285156,-0.81005859,-0.65673828,1371
-0.83886719,-0.81201172,-0.34667969,1373
-0.71484375,-0.95458984,-0.07855225,1398
-0.45385742,-1.09765625,0.14416504,1401
-0.10083008,-1.2265625,0.19470215,1403
0.31347656,-1.28710938,0.04504395,1428
0.45581055,-1.48925781,-0.55957031,1431
-0.22192383,-1.98925781,-1.42285156,1434
-1.08691406,-2.14257813,-1.60253906,1458
-1.16113281,-1.41992188,-1.08496094,1461
-0.45214844,-0.54492188,-0.36962891,1464
0.13305664,-0.14111328,0.15002441,1488
0.14135742,0.13842773,0.2644043,1492
0.10137939,0.33081055,0.37426758,1495
0.13854979999999997,0.34643555,0.47827148,1518
-0.0317688,0.29907227,0.34716797,1521
-0.51904297,0.61328125,0.06100464,1525
-0.86816406,1.10644531,-0.1282959,1555
-0.94091797,1.17578125,-0.28076172,1560
-0.96484375,1.05957031,-0.35302734,1567
-1.02636719,1.20898438,-0.79101563,1575
-1.33691406,1.75683594,-0.45483398,1587
-1.87011719,2.58007813,-0.73779297,1596
-2.11132813,2.49414063,-1.72460938,1599
-1.71484375,0.44726563,-2.45703125,1610
-0.89501953,-1.1484375,-3.609375,1621
-1.01074219,0.59375,-5.2109375,1630
-2.68945313,4.7890625,-2.98046875,1633
-3.79101563,6.3984375,-1.25097656,1660
-3.35546875,2.99609375,-1.90136719,1662
-2.64648438,0.00305176,-2.5546875,1665
-3.29101563,-0.29370117,-1.80566406,1689
-3.99023438,-2.19140625,-0.13330078,1692
-3.02929688,-3.94140625,-1.234375,1695
-1.05078125,-2.58203125,-4.6640625,1720
-0.75,-0.73828125,-5.28125,1723
-1.94433594,2.2265625,-2.65429688,1725
-4.7734375,2.46875,2.49804688,1750
-4.9453125,1.91601563,2.12304688,1753
-4.93359375,-0.47119141,2.3203125,1755
-4.0234375,-3.27148438,1.96679688,1780
-3.50195313,-3.03710938,1.72460938,1783
-3.30273438,-2.3671875,1.2421875,1786
-3.65429688,-1.296875,0.68164063,1810
-3.98046875,0.07427979,1.01269531,1813
-3.17382813,1.76171875,1.54589844,1816
-2.47460938,3.72460938,2.38085938,1841
-2.234375,4.29296875,3.12109375,1843
-1.68261719,3.54296875,2.8984375,1846
-0.74462891,1.95410156,1.88378906,1871
0.13867188,0.47583008,1.45898438,1882
0.83056641,-0.30615234,1.06054688,1885
0.99560547,-0.10919189,1.05175781,1891
0.77294922,0.82617188,0.77099609,1893
0.48974609,1.48046875,0.75195313,1921
0.06799316,1.34472656,1.34472656,1928
-0.33642578,0.81005859,2.01171875,1931
-0.26123047,0.40527344,1.89648438,1941
-0.08911133,-0.05639648,1.28320313,1944
-0.0402832,-0.57519531,0.52294922,1971
-0.03445435,-0.95947266,-0.18627929999999998,1974
0.01911926,-0.54296875,-0.66601563,1977
-0.49291992,0.42236328,-0.27490234,2002
-0.68798828,0.64990234,0.05395508,2004
-0.93310547,0.81298828,-0.4152832,2007
-0.96191406,0.70556641,-0.09197998,2032
-0.86572266,0.44897461,-0.03567505,2035
-0.60546875,0.47290039,0.04742432,2037
-0.12548828,0.76318359,-0.15490723,2063
0.22888184,0.22644043,-0.02711487,2066
0.91259766,0.25561523,-0.50927734,2068
1.0546875,1.33496094,-1.55859375,2092
0.3190918,1.53125,-1.89160156,2095
-0.38720703,2.58007813,-3.46679688,2102
-1.37011719,3.4609375,-4.05078125,2112
-2.25,3.70117188,-2.85742188,2115
-2.58203125,1.61230469,-3.52148438,2142
-3.1640625,1.66113281,-3.91210938,2145
-3.48632813,1.88476563,-4.109375,2148
-3.50390625,1.99121094,-3.76367188,2173
-3.1484375,1.55371094,-2.54492188,2175
-3.78320313,2.33398438,-0.46044922,2178
-4.44921875,2.29492188,1.08984375,2203
-3.55859375,0.98925781,0.16845703,2206
-3.45507813,1.42675781,0.32543945,2209
-3.58789063,1.765625,1.09570313,2233
-3.32226563,1.6953125,1.10839844,2236
-3.08789063,0.52636719,1.07128906,2239
-3.4140625,0.48461914,1.1875,2263
-4.00390625,0.43041992,1.47949219,2266
-3.95703125,-0.33154297,1.36328125,2269
-3.89453125,-0.99121094,1.2734375,2293
-3.5625,-1.40039063,1.49707031,2296
-3.1328125,-0.86376953,1.4921875,2299
-2.78515625,-0.24121094,1.75097656,2324
-2.25976563,0.52539063,2.01367188,2341
-1.71386719,1.56738281,1.85644531,2343
-1.29296875,2.19921875,1.8125,2347
-0.9375,2.02929688,1.43847656,2350
-0.82666016,2.05273438,1.00488281,2374
-0.83447266,1.61035156,0.13903809,2377
-1.0,1.69140625,-0.43017578,2380
-1.19238281,1.50878906,-1.14257813,2404
-1.65429688,1.51464844,-0.97509766,2407
-1.65429688,1.390625,-0.62304688,2423
-1.44140625,1.58886719,-0.51123047,2427
-1.40429688,1.67089844,-0.37426758,2430
-1.09667969,1.39941406,-0.08862305,2456
-0.92675781,1.18554688,-0.36181641,2473
-1.01367188,1.01074219,-0.50439453,2477
-0.79003906,0.50830078,-0.43457031,2492
-0.66259766,0.02349854,-0.56542969,2496
-0.72509766,0.30444336,-0.40551758,2509
-0.58740234,1.23046875,-0.25097656,2526
-0.59863281,1.80078125,-0.16430664,2531
-0.42138672,1.64160156,-0.10278319999999999,2535
-0.33569336,1.59765625,-0.33764648,2543
-0.10913086,1.54785156,-0.52099609,2560
0.13049316,1.53222656,-0.23962402,2563
0.43579102,1.98144531,0.0480957,2568
0.81298828,1.67871094,0.04403687,2572
1.1484375,1.25488281,-0.03167725,2611
1.54101563,1.12890625,-0.06726074,2627
1.38476563,0.93310547,-0.42504883,2631
1.61914063,0.82617188,-0.25341797,2644
2.484375,0.63769531,-0.44628906,2661
2.82226563,0.44946289,-0.7421875,2678
3.08203125,0.40893555,-0.86035156,2695
3.48242188,0.52050781,-0.68212891,2712
4.28125,0.77441406,-0.81542969,2729
4.8984375,0.83007813,-0.90087891,2746
5.1171875,0.47973633,-0.89111328,2762
5.4765625,-0.17260742,-0.82519531,2779
5.78515625,-0.85986328,-0.81738281,2796
5.58984375,-0.69384766,-0.04858398,2813
4.64453125,0.04333496,1.00292969,2817
3.99609375,0.71923828,1.18164063,2830
4.06640625,1.53417969,0.76123047,2834
4.41796875,1.84960938,0.25048828,2838
3.96875,1.90332031,0.80664063,2845
3.70507813,1.32226563,1.17285156,2864
3.76367188,-0.14709473,1.20214844,2881
3.59375,-1.75488281,1.79785156,2884
3.4921875,-2.49609375,2.33984375,2888
3.64648438,-2.24414063,2.58007813,2897
3.52148438,-1.68847656,2.50390625,2901
3.48242188,-1.69921875,1.97851563,2905
3.66210938,-1.87207031,1.10839844,2914
3.8359375,-1.61816406,-0.17919922,2918
3.77539063,-1.11816406,-1.21484375,2922
3.58203125,-0.01180267,-1.98242188,2931
3.34375,0.61035156,-1.72167969,2948
2.81445313,1.45507813,-1.33886719,2965
1.94238281,2.08789063,-0.93212891,2982
1.03417969,2.06640625,-0.48193359,2994
0.53515625,1.82519531,0.09918213,2999
0.22802734,1.47070313,0.20678711,3003
-0.06701660000000001,0.81494141,-0.08343506,3016
-0.26660156,0.01439667,-0.39672852,3019
-0.34204102,-0.62744141,-0.56396484,3033
-0.37475586,-1.03515625,-0.6640625,3049
-0.42407227,-1.046875,-0.61621094,3066
-0.4362793,-0.87255859,-0.60498047,3073
-0.39868164,-0.69384766,-0.6796875,3083
-0.27832031,-0.671875,-0.83251953,3087
-0.21325684,-0.80419922,-1.00878906,3100
-0.36328125,-0.76757813,-1.06933594,3115
-0.60498047,-0.5859375,-1.09375,3118
-0.64111328,-0.26000977,-1.20605469,3134
-0.58154297,-0.11523438,-1.22363281,3142
-0.859375,0.12414551,-0.86132813,3146
-1.06933594,0.79248047,-0.21289063,3151
-1.23828125,1.41796875,0.25024414,3168
-1.34277344,2.07421875,0.74267578,3184
-1.25488281,2.17773438,0.45410156,3201
-1.40136719,1.8984375,0.3684082,3218
-1.18652344,1.26269531,-0.02259827,3235
-1.36328125,0.32177734,-0.26904297,3252
-1.32617188,-0.53515625,-0.17675781,3269
-1.20605469,-1.14355469,-0.05316162,3286
-1.33203125,-1.44628906,0.25927734,3300
-1.27734375,-1.70507813,0.71875,3314
-1.17773438,-1.94628906,0.99267578,3318
-1.28710938,-2.109375,1.01757813,3322
-1.41015625,-2.41992188,0.92626953,3325
-1.51660156,-2.72851563,0.82275391,3328
-1.71289063,-2.90820313,0.56933594,3331
-1.83398438,-2.94726563,0.12030029,3334
-1.92285156,-2.75976563,-0.22509766,3337
-1.90820313,-2.49804688,-0.47485352,3341
-1.74511719,-2.15234375,-0.76171875,3344
-1.53027344,-1.73632813,-1.41699219,3347
-1.72851563,-1.54003906,-2.23828125,3349
-1.94921875,-1.37695313,-2.54296875,3352
-2.14257813,-0.94824219,-2.71679688,3355
-2.22070313,-0.85839844,-3.92578125,3358
-2.26757813,-1.38671875,-6.5703125,3362
-2.51757813,-1.84375,-8.8046875,3364
-3.13671875,-1.57226563,-9.109375,3369
-4.52734375,-0.90478516,-7.82421875,3372
-6.38671875,0.84667969,-5.73828125,3381
-6.94921875,2.54296875,-4.53515625,3384
-6.90234375,2.6875,-3.5234375,3411
-6.9765625,1.52539063,-3.58398438,3414
-6.2734375,0.18945313,-4.81640625,3416
-4.484375,-0.61328125,-6.29296875,3441
-2.75976563,-0.44140625,-6.95703125,3455
-1.19824219,1.00878906,-7.1171875,3458
0.85253906,1.89355469,-6.84765625,3462
2.78320313,1.08105469,-6.2890625,3465
4.20703125,-0.95068359,-5.4921875,3491
5.08203125,-2.8046875,-4.69140625,3494
5.5,-4.3359375,-3.390625,3497
5.359375,-5.3359375,-0.99902344,3521
4.77734375,-5.5546875,0.89746094,3524
4.7109375,-4.98828125,2.08789063,3527
5.015625,-4.26171875,3.15429688,3552
5.2265625,-3.83398438,3.87109375,3554
4.796875,-3.4375,4.91796875,3557
3.43554688,-2.38476563,7.84765625,3582
1.62304688,-1.15917969,10.3203125,3585
1.17773438,-0.76904297,11.7421875,3587
1.47753906,-0.37353516,12.078125,3612
1.921875,0.96875,10.8828125,3625
2.48046875,1.79882813,9.5859375,3628
2.76367188,1.55859375,9.09375,3632
2.49804688,1.19726563,9.140625,3635
1.80761719,0.76708984,8.8515625,3662
0.82861328,-0.64501953,7.19921875,3665
0.37109375,0.07550049,5.7578125,3676
-0.02423096,0.94677734,4.4921875,3682
-0.73632813,2.31640625,4.15625,3685
-1.83007813,3.95117188,3.96875,3713
-2.79296875,5.0546875,3.48242188,3715
-3.29882813,5.3203125,2.58984375,3718
-3.78710938,4.328125,1.65136719,3743
-3.98242188,2.72851563,1.10839844,3746
-4.25,0.86523438,0.6640625,3748
-4.42578125,-1.17578125,-0.01760864,3773
-4.27734375,-1.96679688,-0.60449219,3776
-4.234375,-1.11425781,-0.66210938,3779
-4.19921875,0.48803711,-0.67480469,3803
-4.234375,1.54492188,-0.94042969,3806
-4.44921875,1.57617188,-1.26171875,3809
-4.94921875,0.59326172,-1.66601563,3833
-5.140625,-0.93212891,-2.18945313,3836
-4.91796875,-2.62695313,-2.71289063,3839
-4.328125,-4.28125,-3.62695313,3864
-3.9296875,-4.0546875,-3.51757813,3866
-3.79101563,-2.046875,-2.26171875,3869
-4.11328125,0.19042969,-0.83691406,3894
-4.96484375,1.015625,-0.13159179999999998,3897
-5.23828125,0.29638672,-0.34423828,3899
-5.24609375,-0.71533203,-0.74853516,3924
-4.9921875,-1.33398438,-0.94677734,3927
-4.28515625,-1.73144531,-1.171875,3929
-3.55273438,-1.86035156,-1.04394531,3954
-3.25585938,-1.35839844,-0.37817383,3957
-3.42773438,-0.15270996,0.58398438,3960
-3.69921875,1.10058594,1.44824219,3984
-3.70507813,1.30761719,1.13378906,4000
-3.328125,0.69677734,0.51464844,4003
-2.67382813,-0.11486816,0.06390381,4007
-2.41210938,-0.80078125,0.04553223,4017
-2.68945313,-0.66210938,-0.02746582,4025
-3.18164063,-0.82080078,-0.28100586,4028
-2.69726563,0.22338867,-0.07226563,4055
-2.40234375,1.88183594,0.49511719,4058
-2.42773438,1.80761719,0.39746094,4061
-2.15429688,0.98193359,-0.23559570000000005,4085
-1.76074219,0.73242188,-0.54833984,4088
-1.34179688,0.73632813,-0.55761719,4090
-1.13671875,0.47021484,-0.13598633,4115
-1.1953125,0.14672852,0.07806396,4118
-1.23632813,0.27807617,0.3972168,4121
-1.17871094,0.91992188,0.70751953,4146
-0.94628906,0.64355469,0.67919922,4153
-0.54736328,-0.39086914,-0.22717285,4155
-0.013885499999999999,-0.48364258,-1.27636719,4166
0.13696289,-0.1751709,-1.47070313,4169
0.13488770000000003,-0.02264404,-1.30664063,4196
0.22497559,-0.12768555,-0.59423828,4203
-0.07977295,-0.33837891,0.27929688,4206
-0.29370117,-0.61962891,0.58056641,4216
0.16394043,-1.19921875,0.14038086,4219
0.29003906,-1.19726563,0.00174809,4246
-0.25830078,-0.76611328,0.18359375,4249
-0.09954834,-0.57568359,0.14892578,4252
0.20275879,-0.69580078,0.09826660000000001,4276
0.12634277,-0.66748047,0.14807129,4279
0.19519043,-0.03114319,0.95751953,4282
-0.1295166,0.90966797,1.59765625,4306
-0.48999023,0.68261719,0.80566406,4309
-0.25756836,0.05389404,-0.19763184,4312
-0.05783081,0.20593262,-0.39770508,4337
-0.28515625,-0.41967773,0.62548828,4340
-0.37573242,-0.47045898,1.35644531,4343
-0.31103516,0.4543457,1.14355469,4367
-0.08776855,1.22363281,1.07421875,4373
0.2142334,1.43652344,1.015625,4376
0.54150391,0.97558594,0.76269531,4387
0.68603516,0.00532532,0.24621582,4390
0.06860352,-0.50634766,-0.32788086,4417
-0.22424316,0.59912109,-0.24340820000000005,4420
-0.4934082,1.24707031,-0.26928711,4423
-0.50292969,0.83154297,0.11938477,4448
-0.36401367,0.3659668,0.79101563,4450
-0.09204102,-0.25170898,0.85009766,4453
-0.05471802,-0.85839844,0.98242188,4478
-0.71142578,-1.16796875,1.12402344,4481
-0.98339844,-1.03515625,0.96582031,4483
-1.22363281,-0.59521484,1.14746094,4508
-1.17578125,-0.28540039,1.01464844,4511
-0.48608398,-0.06341553,0.9453125,4514
-0.26318359,-0.00630188,1.18359375,4538
-0.25976563,0.17565918,0.78271484,4541
-0.3659668,-0.11322021,0.21166992,4544
-0.62011719,-1.23632813,-0.23510742,4568
-0.76074219,-2.26367188,-0.55126953,4571
-0.75488281,-1.63867188,-0.44482422,4574
-0.75,-0.91308594,-0.26635742,4599
-0.50927734,-0.35766602,0.13159179999999998,4602
-0.16101074,0.11987305,0.31152344,4604
-0.02539063,0.03381348,0.13708496,4643
-0.37548828,-0.67285156,0.1114502,4646
-0.72021484,-1.20507813,0.27099609,4648
-0.66943359,-1.09570313,-0.04745483,4653
-0.47241211,-0.65673828,-0.62792969,4659
-0.10479736,-0.10955811,-0.82763672,4662
0.06005859,0.10681152,-0.74511719,4689
-0.05865479,0.4453125,-0.38647461,4696
-0.09899902,0.36328125,0.11700439,4699
-0.12213135,0.03759766,0.49853516,4709
-0.40698242,0.11889648,1.01660156,4712
-0.65820313,0.46264648,1.390625,4740
-0.72753906,0.8359375,1.26171875,4742
