X,Y,Z,timestamp
1.50601912,0.20696926,0.55207443,100
-0.17111838,0.25915813,-1.17213619,295
-1.68698013,-0.54699707,0.15022883,485
2.80445576,1.4389018999999998,-1.42613578,2522
1.32978177,1.8459053,-0.21438551,2523
0.74965525,0.04253864,-1.43192875,2524
0.57044536,0.16692734,-0.29271835,2525
0.38225836,0.10821342,0.17052203,2606
-0.60479504,-0.16621017,0.4125573,2801
0.05503464,0.02083397,0.25859845,2995
0.27879912,0.06367207,-0.1105026,3188
0.18172276,0.1602087,-0.37387511,3380
0.15058684,0.07802010000000001,-0.29926577,3574
-0.19966352,-0.0148344,0.0143232,3767
-0.37820184,-0.01236439,-0.23723328,3958
0.02432197,0.08329582,-0.12115077,4151
0.18647182,0.01047134,-0.29970747,4342
0.47092426,0.1839056,-0.02003586,4536
0.8950783000000001,-0.18006516,0.08522511,4731
0.79597086,-0.08044815,0.07794201,4922
0.69632387,-0.02673054,-0.07341176,5116
0.18782669,0.03526783,0.0588389,5309
0.35399672,-0.11315155,-0.06201702,5501
0.32716128,0.02443409,0.06994504,5695
0.06884994,0.01066589,0.07472879,5888
0.05473281,-0.12327957,-0.16551504,6081
-0.2429055,0.21851635,-0.15271562,6273
-0.33859956,0.27478504,0.065532,6465
-0.27344012,-0.0909481,-0.11915302,6658
-0.4771502,0.01194668,-0.21173209,6851
-0.60760558,-0.09543228,-0.00203812,7044
-0.32144928,0.00210571,-0.03636203,7236
-0.32537484,-0.04481602,-0.09066965,7429
-0.10867,0.08561802,-0.05151031,7622
-0.03033996,0.12094879,-0.30042636,7815
-0.07286072,-0.09259987,-0.27917224,8009
0.30257964,0.21199894,0.06286979,8200
-0.00190416,-0.06395531,0.33184719,8393
0.4418062,-0.30373192,0.57461715,8585
-0.02632272,-0.58940029,0.58715773,8781
0.41714215,0.2230835,-0.00828558,8971
-1.52270484,0.14308167,-1.10496879,9166
-0.41357589,-0.1938858,-0.81020033,9356
-0.40478492,-0.05215740000000001,-1.19585383,9550
-0.89052093,-0.39612293,-1.32879138,9744
-0.51483476,1.14631367,-0.64139038,9937
2.58787751,0.68004131,-0.20713782,10130
0.56724763,-1.22421312,-0.75959826,10321
-0.69986773,-0.30194664,1.67196059,10517
0.86431074,0.90242481,-0.7845856,10715
-0.0424825,-0.77791977,0.19532156,10900
-1.0352509,-0.32930088,0.09112345,11095
0.23762763,1.88247299,-1.20417023,11286
2.32703304,0.28118801,-1.01835775,11480
0.42168975,-1.37887144,-0.21733689,11672
0.65229535,2.81879139,0.9464549999999999,11865
0.66010714,-0.98777676,-1.2382822,12059
-0.08352876,0.02597618,-0.5598852,12248
0.14561725,-0.109519,-0.57902014,12442
0.43227375,0.24149418,-0.25721586,12637
0.50751662,0.13700676,-0.22807837,12829
0.53086638,0.15945244,-0.05157071,13022
0.38712573,0.11674881,-0.12072271,13213
0.44675267,0.08875751,-0.36425865,13407
-0.49069679,0.10884857,-0.54400134,13603
0.00849771,0.13465595,-1.47435081,13793
0.54749012,0.24465275,-1.75583971,13988
-0.91259599,0.48382854,0.47976184,14182
-1.4377346000000002,-0.32847118,-0.8804214,14370
-1.62389088,-0.15524769,-1.3574084,14567
-0.69352597,-0.7831831,0.37079573,14758
0.83438826,0.64306259,1.02437353,14950
-0.39648223,-0.00054455,-2.2369163,15143
-1.58504426,-0.47404385,0.24198470000000002,15336
-2.20440698,-0.08773613,0.28706494,17377
1.28702652,1.65633965,-1.46312332,17378
-0.34152913,-1.61987209,-0.77679276,17379
0.70452023,0.80910015,-2.17059755,17380
-0.03353095,0.12181759,-0.49470389,17381
-0.51856709,-0.09643936,-0.16161427,17382
-0.34253216,-0.08391476,-0.21443519,17455
-0.17753792,-0.01196289,-0.14785577,17650
0.61842096,0.15959358,-0.31974539,17843
0.29687667,-0.00647736,-0.15356302,18037
0.12451637,0.16154957,-0.13414916,18230
0.19875193,0.10279560000000001,-0.14350207,18422
0.06632745,-0.01096821,-0.14231774,18615
-0.11868346,0.04110432,-0.10311273,18807
-0.00820833,-0.04663563,-0.10362522,19000
0.04808146,0.02092457,0.0332555,19195
0.17164278,0.02307606,-0.1504916,19387
0.29778612,-0.03863335,-0.07451242,19577
0.6910935,0.14451408,0.00636756,19771
0.12127326,-0.0149107,-0.00046754,19963
0.06412658,0.00681496,0.02235341,20159
0.09334756,-0.03135586,0.08151817,20350
0.10071708,0.023114199999999998,0.03293014,20544
0.03133528,-0.04850864,0.03604114,20736
-0.05589487,-0.00288677,-0.03676498,20930
0.03740455,0.06217861,-0.03353733,21121
-0.15651789,-0.015429499999999999,-0.03836018,21315
0.04718974,0.02501011,-0.09933621,21507
-0.09589188,-0.02747726,0.04109955,21700
0.07760201,-0.02477932,0.12691039,21893
0.34599185,0.03955364,-0.01720315,22086
-0.05989576,-0.01839352,-0.07735962,22280
-0.02884955,0.07780266,-0.01317915,22472
-0.25518355,-0.02481937,0.07008374,22665
0.14076629,0.03404808,0.02813697,22855
0.46202359,-0.00937176,-0.28288513,23051
-0.98737609,-0.0953722,-0.00517398,23242
-0.98152554,-0.09462166,0.30010074,23435
0.47926328,0.03431988,0.1256808,23629
0.04444554,0.03781223,-0.00346798,23822
-0.47119731,-0.0413723,0.18005916,24016
0.27678156,-0.00792503,0.03772858,24209
0.13599905,0.03132248,-0.034424300000000005,24400
-0.19884866,-0.04044437,0.02725732,24593
-0.20524144,-0.01003075,-0.04129392,24785
-0.12620984,-0.01618671,0.05753876,24979
-0.10844602,-0.00238895,0.00725156,25172
-0.11615261,0.04973984,0.01441376,25365
-0.4476617,-0.20481586,-0.05990472,25557
0.76134217,0.17343616,-0.12470430000000002,25750
0.78984022,0.08930969,0.3668896,25943
0.11088622,0.09775639,0.11476365,26138
0.30407971,-0.09406281,-0.19759658,26331
0.86103952,0.36727905,0.18983993,26521
0.88525349,0.21929836,-0.04611886,26714
1.08700323,-0.20968342,-0.69896013,26907
0.48394188,-0.0025835000000000003,-0.26762539,27100
