X,Y,Z,timestamp
-0.60100001,2.03699994,1.95709991,13
-1.74629998,1.22509992,1.77039993,33
-2.19579983,-0.29099998,2.11209989,52
-1.13459992,-1.4224,1.33359993,73
-0.58809996,-1.88409996,-0.0146,93
-0.21149999,-1.36599994,-0.81729996,113
-0.0936,-1.39749992,-0.71579999,133
0.38819999,-1.50249994,-0.1926,153
0.6997,-1.278,-0.25009999,173
0.37709999,-1.05409992,-0.2692,193
-0.09339999,-0.78399998,-0.2304,213
-0.29209998,-0.72839999,-0.0185,232
-0.2967,-0.6728,0.1742,253
-0.34759998,-0.6936,0.35589999,273
-0.49519998,-0.63419998,0.51800001,293
-0.54119998,-0.42309999,0.41069999,313
-0.4208,-0.22139999,0.25509998,333
0.1655,0.26479998,0.0374,353
1.30849993,0.94199997,-0.28439999,372
1.4878,0.9497,-0.46539998,393
1.53429997,0.72130001,-0.74339998,413
1.44959998,0.89629996,-0.82699996,432
1.51319993,2.21359992,-1.20889997,452
1.102,3.38629985,-1.48659992,472
-0.0819,2.46179986,-1.49599993,493
-1.31439996,0.3127,-0.96689999,512
-2.02939987,-0.5244,-0.51379997,533
-1.7895,-0.0151,-0.29099998,553
-1.68349993,0.69510001,-0.2016,572
-2.28059983,0.97119999,-0.0927,593
-3.15869999,0.81119996,0.1507,613
-3.13209987,0.1674,0.3506,633
-2.86430001,-0.4122,0.4594,653
-2.25429988,-0.93219995,0.0347,673
-2.37539983,-0.72999996,-0.34689999,693
-2.26040006,-0.4305,-0.52639997,713
-2.0165,-0.32080001,-0.52499998,733
-1.56099999,-0.25389999,-0.3829,753
-1.41269994,0.0356,-0.29589999,773
-1.39160001,0.07449999,-0.36179999,793
-1.80129993,0.38779998,-0.197,813
-1.61399996,0.93009996,0.16,833
-2.45509982,1.4634999,-0.0679,853
-2.56219983,1.81499994,0.20789999,873
-2.53539991,2.11509991,0.0559,893
-2.51629996,1.421,0.74159998,913
-2.63129997,0.81349999,1.40489995,933
-2.09899998,1.60659993,1.31040001,952
0.7572,3.5395999,0.97069997,973
1.64109993,1.36049998,1.99519992,993
0.50629997,-0.79359996,2.71939993,1013
-0.31329998,-1.30719995,2.22759986,1034
0.063,-1.07869995,1.62109995,1053
0.76199996,-0.63069999,1.00469995,1072
1.00209999,-0.25279999,0.45069999,1093
0.81509995,-0.49869999,0.2216,1112
0.67979997,-1.17589998,0.13239999,1132
0.74379998,-1.70319998,-0.17549999,1153
1.03189993,-1.99309993,-0.4082,1172
1.15249991,-1.79919994,-0.56459999,1192
1.47819996,-1.5618,-0.16229999,1212
1.42059994,-1.30489993,0.1136,1232
1.40479994,-1.08319998,0.49149999,1252
0.77340001,-1.22879994,0.73119998,1272
0.4312,-1.12319994,1.09430003,1292
0.87869996,-0.66799998,0.89899999,1312
1.78369999,-0.27249998,0.47049999,1332
1.95480001,0.0485,0.0233,1352
1.98749995,0.40849999,-0.46349999,1371
2.04579997,0.29409999,-0.70999998,1392
2.22979999,0.1609,-0.77039999,1412
2.18179989,0.50839996,-0.5909,1432
2.37549996,0.71950001,-0.71459997,1452
2.30369997,0.76599997,-0.74529999,1472
2.14969993,2.08739996,-0.75589997,1493
1.80719995,4.91919994,-0.24259999,1512
-0.33570001,3.14359999,0.44309998,1533
-1.7450999,0.0615,1.38859999,1552
-0.2814,1.00959992,1.20349991,1572
1.10710001,1.95939994,0.6825,1593
1.11099994,1.4253,0.64169997,1613
0.60389996,0.4921,0.67750001,1632
0.61629999,0.32099998,0.40469998,1652
0.91839999,0.80039996,-0.1525,1672
1.04400003,1.41530001,-0.70569998,1693
0.81409997,1.77389991,-0.60759997,1712
0.54579997,1.67729998,-0.352,1733
-0.28709999,1.31789994,-0.77789998,1752
-1.38829994,1.15429997,-1.01389992,1772
-1.75849998,0.71509999,-0.94329995,1792
-1.97229993,0.3669,-0.95879996,1812
-2.11489987,0.44959998,-1.07599998,1833
-2.08539987,1.22829998,-0.90859997,1852
-1.45849991,1.31069994,-0.92339998,1872
-1.16699994,1.06719995,-0.91499996,1893
-1.66229999,1.13099992,-0.45369998,1912
-2.53609991,1.30489993,0.35609999,1933
-2.58990002,0.1013,0.574,1952
-1.9440999,-0.61109996,1.60280001,1972
-0.101,-0.83660001,2.61609983,1993
1.14609993,-0.59569997,2.48379993,2012
0.70370001,-0.1779,1.76819992,2032
-1.00370002,-0.11499999,1.6609,2052
-2.61800003,-0.38419998,1.29250002,2072
-3.8578999,0.1171,0.79149997,2092
-3.8283,0.2137,0.3123,2112
-2.83099985,0.31309998,0.10839999,2132
-0.07099999,1.83729994,0.80719995,2152
0.23989999,1.46009994,2.13119984,2172
2.15109992,1.02170002,2.21329999,2193
2.15089989,0.87109995,0.86519998,2212
-1.25399995,1.00590003,0.5618,2232
-2.66610003,0.56089997,0.88999999,2252
-1.30900002,-0.2067,0.068,2273
0.44779998,-0.81919998,-0.47749999,2293
-0.24609999,-0.9152,-0.4601,2312
