X,Y,Z,timestamp
-1.42049992,0.66979998,-1.68349993,11
-1.22479999,0.48799998,-1.54890001,33
-0.99369997,0.26589999,-1.59589994,51
-0.75040001,0.16489999,-1.62669992,71
-0.65549999,0.1707,-1.77849996,92
-0.62619996,0.26539999,-1.74099994,111
-0.69169998,0.37199998,-1.7766999,131
-0.7683,0.3188,-1.6552,151
-1.11119998,-0.23109999,-1.50619996,172
-1.20929992,-0.49429998,-1.41670001,192
-1.65869999,-0.3281,-1.35469997,212
-1.64979994,0.48729998,-1.0345,233
-1.15689993,2.06920004,-0.33840001,252
-0.90889996,1.82919991,0.6778,272
-0.57199997,0.23339999,1.87839997,293
-0.31979999,-0.76239997,1.56669998,312
-0.89589995,-0.92149997,0.61899996,333
-0.93839997,-0.9091,0.62699997,352
-0.1856,-0.49869999,0.97399998,372
0.58829999,0.46949998,0.96950001,393
0.80309999,0.34959999,1.19620001,412
0.2915,-0.49589998,1.21679997,433
-0.44829997,-1.14450002,0.88559997,453
-0.48719999,-1.03979993,0.66549999,473
-0.1814,-0.82419997,0.58899999,493
0.38139999,-0.7852,0.33649999,513
1.01370001,-0.92589998,-0.0024,533
1.15859997,-1.06519997,-0.33489999,553
1.01189995,-1.04820001,-0.65639997,573
0.66049999,-0.78619999,-0.89120001,593
0.3567,-0.58999997,-1.02160001,612
0.28259999,-0.76359999,-0.91909999,633
0.32139999,-0.98249996,-0.86249995,652
0.2516,-1.18929994,-0.84450001,672
0.0609,-1.2148,-0.7647,693
-0.19659999,-0.98539996,-0.5995,713
-0.4285,-0.57589996,-0.51699996,732
-0.3802,0.43889999,-0.38299999,753
-0.0902,1.80859995,-0.45159999,772
0.33449998,3.8111999,-0.9964,792
0.73689997,5.15529966,-1.5776,811
0.52990001,4.35640001,-1.29289997,831
-0.42429999,2.51719999,-0.736,851
-1.41779995,0.88849998,-0.3107,872
-2.18560004,0.53749996,-0.26839998,892
-2.49469995,0.97069997,-0.3475,912
-2.81729984,1.11669993,-0.46619999,932
-2.86769986,0.70949996,-0.44709998,953
-2.84220004,0.1244,-0.50749999,973
-2.25139999,-0.45249999,-0.67399997,993
-1.93610001,-0.75949997,-1.03460002,1012
-1.82149994,-0.83269995,-1.22369993,1034
-2.02329993,-0.70120001,-1.51459992,1053
-1.9210999,-0.56869996,-1.46990001,1073
-1.84990001,-0.2225,-1.55419993,1093
-1.62909997,0.29929999,-1.47359991,1113
-1.64609993,0.72979999,-1.42699993,1133
-1.52899992,0.9479,-1.2112,1153
-1.70129991,0.96529996,-0.89159995,1173
-1.57519996,1.09490001,-0.4488,1193
-1.60579991,1.57949996,-0.26100001,1213
-1.32679999,1.83159995,-0.155,1233
-1.3642,1.81659997,0.16319999,1252
-1.24720001,1.47350001,0.56239998,1273
-0.93629998,1.68709993,0.7101,1293
0.3978,2.79219985,0.3527,1312
1.37449992,2.44739985,0.40529999,1333
1.09939992,-0.49719998,1.14670002,1352
0.0705,-1.71159995,1.56369996,1373
-0.76119995,-1.9677,1.37959993,1393
-0.91649997,-1.51919997,1.54979992,1413
-0.3592,-0.42829999,1.49309993,1433
0.4003,0.1427,1.61989999,1452
0.71069998,0.0488,1.26789999,1473
0.66899997,-0.66350001,0.93719995,1493
0.0939,-0.67469996,0.80689996,1513
-0.0967,-0.65719998,0.90529996,1533
0.12969999,-0.88239998,1.02100003,1553
0.1671,-0.88809997,1.00660002,1573
0.20529999,-0.71939999,0.94529998,1593
0.42789999,-0.755,0.92519999,1613
0.69510001,-0.0051,0.70499998,1633
0.25369999,0.1021,0.74610001,1653
-0.55659997,-0.2374,0.58669996,1672
-0.95809996,0.12719999,0.56529999,1693
-1.10809994,0.45409998,0.59329998,1712
-1.20019996,0.12879999,0.72439998,1733
-0.92329997,-0.46129999,0.55439997,1752
-0.60009998,0.17549999,-0.0106,1773
0.1709,2.26699996,-1.16229999,1793
1.10469997,3.58399987,-2.09829998,1813
0.42399999,2.80110002,-2.20549989,1833
-1.47879994,2.09039998,-1.875,1853
-2.5086,2.25539994,-1.25849998,1872
-2.47059989,2.82359982,-0.58279997,1893
-1.7766,2.33069992,-0.34779999,1913
-1.13380003,1.24619997,-0.52270001,1933
-1.25769997,0.35749999,-0.5704,1953
-1.40960002,0.44389999,-0.66209996,1972
-1.41129994,0.66439998,-0.4664,1994
-1.54269993,1.2184,-0.34379998,2014
-1.54509997,1.44480002,-0.44069999,2033
