X,Y,Z,timestamp
0.36108398,0.13854979999999997,-1.23535156,6
0.41796875,0.18005371,-0.90869141,18
0.42700195,0.31323242,-0.60791016,23
0.56347656,0.53027344,-0.33789063,41
1.04589844,0.90771484,-0.23352051,57
1.18652344,1.359375,-0.42333984,62
1.06640625,1.3828125,-0.73974609,73
0.86035156,0.98828125,-0.98388672,78
0.81982422,0.72998047,-0.84130859,82
0.76123047,0.69775391,-0.34082031,109
0.81738281,0.64746094,-0.00610733,112
0.79541016,0.53564453,0.10302734,124
0.58544922,0.28076172,0.13696289,129
0.68310547,0.28344727,0.17492676,133
0.97119141,0.66650391,0.11779785,159
1.18359375,0.73730469,0.30053711,163
1.10742188,0.55615234,0.55126953,175
1.203125,1.24902344,0.45532227,180
1.38085938,1.99511719,0.21447754,184
1.12597656,1.421875,-0.19543457,209
0.72265625,0.61816406,-0.20532227,213
0.72070313,0.69042969,-0.00180531,225
0.83300781,1.09082031,0.06732178,230
0.99804688,1.19824219,-0.05429077,234
1.08984375,1.32714844,-0.38427734,259
1.22558594,1.64453125,-0.70410156,263
1.3515625,1.77050781,-0.78955078,275
1.21386719,1.38574219,-0.86230469,280
0.98632813,0.81494141,-1.00585938,284
0.78173828,0.29516602,-0.89160156,310
0.57470703,-0.06085205,-0.67138672,326
0.59765625,0.07080078,-0.42919922,342
0.53125,0.27612305,-0.37939453,347
0.55517578,0.24328613,-0.61865234,351
0.57275391,0.20776367,-0.84667969,355
0.74072266,0.50732422,-1.17480469,360
0.76318359,0.64501953,-1.33691406,376
0.63525391,0.41943359,-1.35839844,381
0.54150391,0.0680542,-1.2890625,385
0.45581055,-0.14086914,-1.2265625,411
0.45239258,0.26586914,-1.02050781,426
0.63818359,0.76708984,-0.57958984,443
-0.25610352,-0.43237305,0.35498047,448
-0.24450684,-0.41162109,0.28955078,460
0.13232422,-0.79833984,0.32275391,477
-0.17712402,-0.97167969,-0.36035156,484
-0.51757813,-1.11621094,-0.79003906,493
0.00390434,0.12353516,-0.80126953,497
0.66796875,1.63964844,-0.31665039,503
0.90380859,2.140625,0.46704102,512
0.84765625,2.05664063,0.61621094,517
0.6640625,1.45410156,0.40063477,522
0.58398438,0.77294922,-0.06524658,526
0.37475586,0.05429077,-0.35253906,552
0.24597168,-0.41772461,-0.48291016,555
0.47802734,-0.86914063,-0.93554688,559
0.46533203,-0.91699219,-0.89990234,572
0.19567871,-0.81689453,-0.38891602,577
0.29052734,-0.46923828,-0.4284668,602
0.51318359,-0.15991211,-0.33032227,611
0.44750977,-0.37255859,-0.66650391,628
-0.01267242,-0.56396484,-1.22753906,633
-1.10839844,-0.79882813,-0.32495117,645
-0.94873047,-0.14758301,0.41455078,661
0.32250977,1.79101563,-0.63330078,666
-0.44921875,0.81005859,-0.63867188,678
-0.13806152,-0.29125977,-1.13085938,695
-0.00607681,0.02914429,-1.58203125,700
0.04824829,0.47216797,-0.12011719,704
0.19262695,-0.05288696,0.59375,712
-0.01983643,-1.07519531,0.18847656,717
0.3125,-1.33007813,-0.21643066,728
0.28686523,-0.71582031,-0.4206543,733
-0.04632568,-0.73925781,-0.44506836,737
-0.02017212,-0.80126953,-0.65234375,763
0.07794189,-0.67480469,-0.76757813,779
0.18041992,-0.31420898,-0.69921875,783
0.27905273,-0.07281494,-1.23242188,788
0.28027344,0.1083374,-1.55957031,794
0.32714844,0.19555664,-1.46972656,803
0.68505859,0.36669922,-1.20507813,807
0.80419922,0.51123047,-0.87695313,834
0.66259766,0.23779297,-0.82958984,846
0.65576172,-0.21447754,-0.78125,863
0.57421875,-0.32788086,-0.70556641,868
0.29492188,-0.4621582,-0.72314453,880
0.17028809,-0.54248047,-0.90380859,884
0.12976074,-0.28466797,-0.953125,889
0.80615234,0.75,-0.9609375,893
1.12695313,2.16601563,-0.95068359,904
0.74023438,2.33789063,-0.61425781,913
0.62841797,1.55859375,-0.42236328,924
0.63085938,0.61914063,-0.21362305,928
0.52197266,0.48754883,0.13171387,954
0.296875,0.58007813,0.73193359,958
0.20593262,0.50683594,0.94433594,962
0.22277832,0.39477539,0.99804688,975
0.14916992,0.3449707,0.72460938,979
0.1262207,0.39648438,0.61669922,1005
0.24975586,0.64306641,0.59814453,1009
0.39257813,0.96923828,0.76513672,1013
0.64697266,1.51855469,1.04589844,1025
0.72460938,1.84960938,0.88037109,1029
0.45117188,1.60449219,0.50537109,1055
0.47705078,1.33496094,0.22875977,1064
0.54443359,1.48046875,0.03723145,1068
0.31274414,1.42089844,-0.22741699,1075
0.24365234,1.00097656,-0.30541992,1081
0.35351563,1.01855469,-0.10205078,1106
0.46826172,1.20410156,-0.002285,1109
0.56933594,1.13964844,0.02740479,1113
0.68017578,1.109375,-0.04739380000000001,1126
0.68017578,1.109375,-0.04739380000000001,1132
0.57910156,0.71337891,-0.01168823,1156
0.52880859,0.40625,-0.0272522,1160
0.46069336,0.04968262,-0.38793945,1164
0.41723633,0.02955627,-0.4519043,1176
0.52734375,-0.05310059,-0.67431641,1180
0.54882813,-0.05163574,-0.81835938,1206
0.53076172,0.25,-0.73095703,1210
0.54882813,0.44677734,-0.71484375,1214
0.59667969,0.46972656,-0.87304688,1226
0.52685547,0.46777344,-0.91259766,1230
0.44506836,0.40429688,-0.88769531,1257
0.42504883,0.32446289,-0.93017578,1267
0.42749023,0.10333252,-1.09375,1273
0.38037109,-0.14453125,-1.11621094,1278
0.41821289,-0.16381836,-1.05175781,1283
0.38330078,-0.13171387,-1.07519531,1307
0.34301758,-0.10266113,-1.296875,1311
0.27099609,-0.08190918,-1.4296875,1317
0.22668457,0.02784729,-1.34570313,1327
0.19836426,0.18322754,-1.24121094,1334
0.23376465,0.2076416,-1.19238281,1357
0.27490234,0.18078613,-1.17382813,1361
0.29296875,0.19384766,-1.11816406,1366
0.31176758,0.22778320000000005,-1.15136719,1377
0.36987305,0.19946289,-1.23828125,1381
0.39575195,0.15661621,-1.31445313,1408
0.36328125,0.18811035,-1.26074219,1418
0.46142578,0.25341797,-1.08789063,1435
0.49291992,0.32348633,-0.77587891,1440
0.33764648,0.18041992,-0.43286133,1444
0.35839844,0.08831787,-0.20385742,1448
0.50244141,0.22363281,-0.15258789,1458
0.44921875,0.3137207,-0.32080078,1468
0.41235352,0.3840332,-0.50634766,1478
0.54248047,0.54296875,-0.65429688,1485
0.63867188,0.68017578,-0.92529297,1508
0.69042969,0.79833984,-1.08007813,1516
0.72412109,0.95898438,-1.08300781,1536
0.8359375,1.08007813,-0.89648438,1541
0.91796875,0.97265625,-0.64941406,1553
0.84326172,0.76367188,-0.4543457,1556
0.79443359,0.65722656,-0.30834961,1561
0.76611328,0.66259766,-0.2442627,1565
0.734375,0.69921875,-0.35107422,1589
0.70898438,0.71386719,-0.44848633,1603
0.76171875,0.78808594,-0.49072266,1620
0.83740234,0.93359375,-0.55810547,1625
0.91162109,1.03417969,-0.57568359,1629
1.02929688,1.01757813,-0.58154297,1633
1.01660156,0.91601563,-0.56982422,1639
1.01953125,0.84375,-0.47875977,1643
1.14160156,0.83203125,-0.42358398,1669
1.03222656,0.87109375,-0.49389648,1687
1.03320313,1.08007813,-0.50927734,1704
1.07421875,1.15722656,-0.58251953,1709
1.11523438,0.98974609,-0.72314453,1713
1.12304688,0.97314453,-0.73583984,1717
1.16210938,1.02734375,-0.65966797,1721
1.26074219,1.08203125,-0.64794922,1730
1.28417969,1.22851563,-0.61376953,1734
1.22949219,1.30859375,-0.65576172,1760
1.16796875,1.3671875,-0.64111328,1771
1.16796875,1.41796875,-0.66601563,1787
1.14257813,1.40429688,-0.84472656,1792
1.09082031,1.41699219,-0.90283203,1821
1.05566406,1.28417969,-0.97851563,1826
0.94042969,1.171875,-1.06445313,1838
0.93310547,1.07714844,-1.078125,1855
