X,Y,Z,timestamp
-0.25239998,0.94169998,0.46269998,13
0.27519998,0.68549997,0.0202,34
0.83499998,0.67189997,0.0206,54
0.8951,0.8168,-0.0373,74
1.05499995,0.1814,0.25740001,94
1.59959996,-0.21429999,0.13589999,114
1.9440999,0.46379998,-0.14839999,134
1.60939991,0.61089998,-0.19239999,154
1.61099994,-0.0896,-0.3987,174
2.05079985,-0.47439998,-0.78649998,194
2.12240005,-0.97099996,-0.71999997,213
1.78909993,-1.46319997,-1.08780003,235
2.28629994,-1.32849991,-1.87549996,254
2.68829989,-1.65489995,-2.31599998,273
2.81060004,-2.27629995,-2.44579983,293
2.82299995,-1.91969991,-2.62719989,313
3.18349981,-1.57599998,-2.90240002,333
2.54819989,-1.36829996,-2.61929989,353
1.84959996,-1.0503,-2.74740005,373
1.16999996,-0.64279997,-2.96009994,394
0.1696,0.1236,-3.14989996,414
-0.52679998,0.43699998,-2.55270004,437
-0.77529997,1.24459994,-2.12999988,454
-0.37899998,1.71319997,-1.403,473
0.42119998,2.15789986,-0.85159999,493
0.6462,2.03760004,-0.1504,513
0.80189997,1.97669995,0.0424,533
0.86809999,1.95219994,0.51279998,553
0.4962,1.89300001,0.44589999,574
-0.35119998,2.04250002,0.1894,594
-1.38909996,2.42939997,-0.1038,614
-1.73219991,2.28919983,-0.1382,634
-1.37959993,2.01379991,-0.0473,654
-0.74189997,1.76499999,0.1602,674
-0.94449997,2.13170004,0.38509998,694
-0.83319998,1.8743,0.48389998,714
-0.64889997,1.44559991,0.38869998,736
-0.21079999,1.11720002,0.7105,754
-0.1973,1.10459995,1.10350001,774
-0.59279996,1.19400001,0.74509996,794
-0.8373,1.35179996,0.63959998,814
-0.46309999,1.245,0.9533,834
-0.25029999,1.06309998,1.59899998,854
-0.30969998,1.0359,1.22439992,874
-1.08209991,1.33420002,0.26789999,894
-1.78380001,1.45089996,0.25299999,914
-1.60679996,1.17999995,1.05939996,935
-0.97229999,0.8919,0.85719997,954
-0.1521,0.86919999,0.3096,974
0.32949999,0.84249997,0.0938,993
0.0599,0.73429996,0.3283,1014
-0.45699999,0.63849998,0.36899999,1033
-0.81169999,1.26329994,0.72229999,1054
-1.2924,1.23119998,1.45449996,1074
-1.9691999,0.8075,0.29159999,1093
-1.30250001,0.93779999,0.0357,1113
-0.92389995,0.9526,0.77669996,1134
-0.97329998,1.22109997,2.05949998,1155
-0.84069997,1.25059998,1.66209996,1174
-1.64559996,1.0855,0.7428,1194
-2.95490003,1.20139992,0.54890001,1214
-3.37899995,1.18379998,-0.0263,1234
-3.32459998,1.3506,-0.51169997,1254
-3.02839994,1.70869994,-0.46149999,1274
-2.86279988,1.94059992,-0.2008,1294
-2.47899985,1.39049995,-0.398,1313
-2.02339983,1.48360002,-1.10430002,1333
-1.43089998,1.45649993,-0.87119997,1354
-0.96799999,1.47109997,-0.6559,1373
0.81729996,1.89029992,-0.84009999,1393
1.8973,2.29259992,-1.27590001,1413
1.57379997,1.5596,-1.11430001,1433
0.53829998,-0.17199999,-0.35799998,1453
0.1891,-0.52109998,0.25709999,1473
0.71429998,0.94029999,-0.2014,1494
1.16110003,1.58529997,-0.58019996,1513
1.64219999,0.71619999,-0.84429997,1533
1.70739996,0.0698,-0.83109999,1554
1.71949995,0.4118,-1.21569991,1573
2.04259992,0.78719997,-1.68900001,1593
2.18099999,0.87989998,-2.04410005,1614
1.71619999,0.48349997,-1.90429997,1633
1.52039993,0.50309998,-2.05130005,1654
1.47920001,1.27929997,-2.38369989,1673
1.80769992,1.00959992,-2.46829987,1693
2.17219996,0.2464,-2.1789,1714
2.57819986,-0.42389998,-2.23339987,1733
2.67989993,-0.58099997,-2.12839985,1754
2.61870003,-0.0337,-2.06419992,1773
2.11999989,0.19119999,-1.95089996,1793
1.64619994,-0.25729999,-1.77979994,1814
1.01859999,-0.45089999,-1.44289994,1834
0.48269999,-0.43849999,-1.1221,1854
-0.26449999,-0.3308,-1.02759993,1873
-0.88169998,-0.0843,-1.44639993,1894
-0.17189999,-0.23529999,-1.53799999,1914
0.89409995,-0.25819999,-1.09009993,1933
1.30839992,-0.20009999,-0.76980001,1954
1.59469998,-0.37199998,-1.01709998,1974
1.11669993,-0.50879997,-0.85619998,1993
1.02909994,-0.63440001,-0.9896,2013
1.12179995,-0.48929998,-0.95969999,2034
1.01889992,-0.10529999,-0.76889998,2054
0.85529995,0.2296,-0.57279998,2074
1.15719998,0.24699999,-0.41549999,2093
1.35439992,0.1556,-0.21059999,2114
1.93109989,-0.0461,-0.34630001,2133
1.65399992,0.2314,-0.47869998,2154
1.10979998,0.50830001,-0.56650001,2174
0.82809997,0.69019997,-0.361,2193
0.76629996,1.02939999,-0.32049999,2213
1.09599996,2.4145,-0.3978,2233
1.64259994,4.8993001,-0.0951,2253
1.84079993,2.6494,0.2057,2273
0.86109996,1.16419995,1.04209995,2293
-1.29369998,-0.55970001,1.32239997,2313
-2.69700003,-2.03040004,0.63510001,2333
-2.85469985,-2.15719986,-0.15699999,2354
-2.62800002,-0.3281,-0.53420001,2373
-1.24080002,0.85869998,-0.38589999,2393
0.5323,0.796,-0.0256,2413
1.74379992,0.1305,0.27779999,2433
1.90769994,-0.62419999,0.31,2453
1.28329992,-1.00080001,0.0933,2473
0.75029999,-1.0517,-0.0654,2493
0.2096,-1.46649992,0.0135,2513
-0.1065,-1.79589999,-0.152,2533
-0.20289999,-1.64779997,-0.084,2553
0.51980001,-1.43400002,-0.0213,2573
0.82249999,-1.10749996,0.1874,2593
0.59740001,-0.94089997,0.3617,2613
0.16509999,-1.5022999,0.36469999,2633
-0.2191,-1.89919996,0.3242,2654
-0.24949999,-1.59099996,-0.1813,2673
0.0694,-1.47739995,-0.1935,2694
-0.0752,-0.70419997,0.0791,2714
-0.0285,0.43079999,0.24869999,2736
0.2251,0.36899999,0.51679999,2754
0.9483,1.13479996,0.0794,2774
2.34789991,4.65399981,-0.4962,2793
2.66629982,5.06369972,-0.17479999,2813
1.79469991,2.80159998,0.66459996,2834
1.11769998,2.53789997,0.83389997,2854
0.52129996,0.9727,-0.0018,2874
0.1139,-0.50879997,-0.94309998,2894
-0.38119999,-0.58039999,-1.2428,2914
-0.96179998,0.72999996,-1.18429995,2934
-1.2385,1.56379998,-0.65859997,2955
-1.44999993,1.58459997,-0.7202,2974
-1.30139995,0.5492,-0.75470001,2994
-1.6401999,-0.24169999,-0.95179999,3014
-1.55499995,-0.66049999,-0.78479999,3034
-1.44480002,-0.39829999,-0.79049999,3054
-1.08289993,-0.189,-0.74339998,3074
-0.98999995,-0.34559998,-0.71599996,3094
-0.84579998,-0.51069999,-0.78200001,3114
-0.51989996,-0.1244,-0.8003,3134
-0.25479999,0.36339998,-1.02259994,3154
-0.41979998,0.19499999,-0.95319998,3174
-0.6358,-0.0477,-0.77319998,3194
-0.61579996,-0.0114,-0.56629997,3214
-0.41209999,0.30649999,-0.49759999,3234
0.27329999,0.52149999,-0.6688,3254
0.86149997,0.42829999,-0.52079999,3274
0.97919995,0.1841,-0.0637,3294
0.82699996,0.26190001,-0.0168,3314
1.50739992,2.4921,-0.0522,3334
2.72720003,3.3572998,0.3527,3354
1.39579999,1.89549994,0.62419999,3374
0.0408,1.80879998,0.50809997,3394
-0.8459,1.23210001,0.79350001,3414
-1.65189993,-0.0408,1.00529993,3434
-2.56949997,-1.40689993,0.77509999,3454
-2.34819984,-0.85589999,0.4197,3474
-1.53049994,0.66929996,0.3405,3495
-0.28470001,1.13080001,0.71799999,3513
-0.1795,0.69299996,0.74189997,3533
0.0235,0.2051,0.56290001,3554
0.0657,-0.0941,0.50690001,3573
-0.20889999,-0.32529998,0.58590001,3593
-0.89599997,-0.3308,0.551,3613
-1.03299999,-0.1065,0.37180001,3633
