X,Y,Z,timestamp
0.71191406,1.70410156,-3.0859375,8
0.87451172,1.51660156,-3.00976563,25
0.88574219,1.50683594,-2.83398438,30
1.00488281,1.73144531,-2.95507813,42
1.08300781,1.859375,-2.97265625,59
1.04003906,1.67382813,-2.84765625,66
0.87304688,1.37597656,-2.83984375,76
0.70214844,1.01367188,-2.64648438,80
0.625,0.48510742,-2.73046875,92
0.16149902,-0.21032715,-3.28515625,109
0.3190918,0.26757813,-3.30273438,119
0.3737793,0.45239258,-3.04492188,124
0.11157227,-0.08789063,-2.93359375,150
0.17321777,-0.49072266,-2.85742188,159
-0.09460449,-0.68212891,-2.59375,177
-0.22717285,-1.11035156,-2.32617188,194
-0.19470215,-1.29101563,-2.390625,199
-0.18591309,-1.34375,-2.74609375,211
-0.32592773,-1.27734375,-2.68945313,227
-0.4284668,-1.11816406,-2.40234375,244
-0.33203125,-0.95605469,-2.06835938,263
-0.28833008,-0.93701172,-1.87207031,278
-0.19689941,-0.82958984,-1.84863281,295
-0.07012939,-0.9609375,-1.82128906,312
-0.11730957,-1.13574219,-1.86523438,319
-0.04733276,-1.13085938,-1.89746094,322
-0.10009766,-0.95019531,-1.87890625,341
-0.05435181,-0.88720703,-1.89550781,345
0.18151855,-1.84863281,-3.70507813,349
-2.33984375,-6.4140625,-3.00195313,353
-3.20703125,-3.0703125,-0.50292969,357
-0.68945313,-1.00488281,1.00292969,362
0.20812988,-3.4765625,0.35522461,366
0.54296875,-0.86572266,-0.85107422,370
0.03134155,-0.87353516,-1.93066406,375
0.31811523,-0.83300781,-2.64648438,379
0.5703125,-0.47314453,-2.82617188,383
0.34936523,-0.83837891,-2.87109375,387
0.42382813,-0.44213867,-2.89257813,395
0.76416016,0.33544922,-3.21875,399
0.92236328,0.07720947,-3.43554688,425
1.15136719,-0.08776855,-3.484375,429
1.39355469,0.47436523,-3.24609375,433
1.4296875,0.11602783,-2.93554688,445
1.42675781,-0.27050781,-2.76171875,449
1.51855469,-0.09448242,-2.75,475
1.54785156,-0.17211914,-2.71484375,481
1.46582031,-0.41064453,-2.796875,498
1.30566406,-1.0859375,-2.77148438,503
1.43554688,-1.22851563,-2.54492188,515
1.5859375,-0.46850586,-2.49804688,520
1.61523438,0.18090820000000002,-2.47460938,523
1.50878906,0.25512695,-2.54492188,535
1.64160156,-0.06408691,-2.46875,548
1.41894531,-0.546875,-2.1875,555
0.95410156,-1.01269531,-1.8359375,565
0.75830078,-2.13867188,-1.56835938,575
0.73828125,-2.27734375,-1.359375,582
0.95410156,-1.73925781,-1.58789063,605
1.1171875,-0.60107422,-1.890625,616
1.37792969,0.42895508,-2.140625,633
0.93066406,0.15100098,-2.27929688,638
0.85302734,-0.29614258,-2.57617188,650
0.96142578,-0.76416016,-2.59960938,667
0.76806641,-1.13964844,-2.68359375,672
0.64941406,-0.97314453,-2.89257813,684
0.83300781,-1.27246094,-2.93945313,701
0.62158203,-1.29492188,-2.86328125,706
0.48876953,-1.11230469,-2.78515625,709
0.67236328,-0.76806641,-2.6328125,713
0.79199219,-0.14672852,-2.63867188,717
0.79052734,0.54980469,-2.640625,725
0.90283203,1.06152344,-2.59960938,729
0.8359375,1.31152344,-2.84960938,755
0.80175781,1.34570313,-3.59375,768
0.86572266,0.86376953,-4.3125,772
0.74609375,0.40039063,-4.00390625,781
0.60205078,-0.54492188,-3.21679688,785
0.55078125,-1.19042969,-2.72460938,795
0.43896484,-1.48925781,-2.6015625,799
0.20495605,-1.04199219,-2.359375,825
0.38452148,-0.79443359,-2.00976563,829
0.49414063,-1.99121094,-2.00195313,836
-0.12121582,-3.30859375,-2.04296875,845
-0.71191406,-3.1875,-2.21875,852
-0.41723633,-1.70703125,-2.796875,875
0.19494629,-0.38891602,-2.95703125,879
0.40649414,-0.24316406,-2.8203125,883
-0.07598877,-1.09863281,-2.44921875,895
0.03015137,-1.2265625,-2.3125,904
0.2722168,-0.93847656,-2.65429688,915
0.11499023,-0.86865234,-2.8984375,919
0.47680664,-0.80615234,-3.07617188,945
0.89990234,-1.04785156,-2.62890625,949
1.16601563,-3.66992188,-3.68164063,953
-1.48242188,-6.59375,-2.56640625,965
-1.3515625,-3.51171875,-1.34570313,971
0.90576172,1.07714844,-2.01367188,995
1.24023438,1.86621094,-2.58007813,999
0.51123047,0.08343506,-3.01953125,1003
-0.60839844,-1.63085938,-3.18164063,1015
-0.72998047,-1.03808594,-1.96289063,1019
1.36328125,-0.27978516,-2.30273438,1045
1.90234375,0.34399414,-2.96289063,1056
1.04296875,-0.43115234,-2.97851563,1073
1.09863281,-1.63476563,-3.14453125,1078
0.80712891,-2.15625,-2.80273438,1090
0.69677734,-1.80273438,-2.23828125,1094
0.74462891,-1.16308594,-1.95507813,1104
0.75732422,-0.52734375,-1.80761719,1108
0.46801758,-0.42724609,-1.6953125,1115
0.93066406,-0.70410156,-1.78320313,1119
0.79785156,-0.86767578,-2.01953125,1145
0.40380859,-1.43261719,-2.51171875,1158
0.31567383,-2.03515625,-2.86328125,1175
0.13378906,-1.796875,-2.90429688,1180
0.23559570000000005,-1.29785156,-2.89648438,1192
0.45288086,-1.04101563,-2.8203125,1195
0.52148438,-1.31152344,-2.66796875,1210
0.24658203,-0.93310547,-2.67578125,1214
0.01438141,-1.25488281,-2.31054688,1218
0.20593262,-1.33691406,-2.07226563,1225
0.02233887,-0.49584961,-1.82519531,1229
-0.03210449,-0.4074707,-1.59863281,1258
-0.18457031,-0.49804688,-1.71289063,1261
-0.13330078,-0.53759766,-1.81640625,1276
0.13208008,-0.53857422,-1.99316406,1282
0.24560547,-0.64648438,-2.21484375,1293
0.26293945,-0.70507813,-2.07617188,1298
0.42724609,-0.76074219,-1.95898438,1302
0.10943604,-0.46630859,-1.79003906,1325
0.171875,-0.35961914,-1.67675781,1339
0.15100098,-0.59619141,-1.53710938,1343
0.12731934,-0.69580078,-1.3671875,1348
0.13366699,-0.94482422,-1.30859375,1352
-0.09692383,-1.06542969,-1.35253906,1375
-0.11968994,-1.08105469,-1.47167969,1394
-0.08227539,-1.08496094,-1.59765625,1398
0.13989258,0.56445313,1.16113281,1403
0.42895508,2.109375,0.97070313,1407
0.61621094,2.41992188,0.03811646,1415
0.25195313,0.72998047,-0.98632813,1428
0.18554688,-0.19763184,-1.12695313,1435
-0.10784912,-0.88378906,-1.07324219,1439
-0.58105469,-1.10449219,-1.21875,1465
-0.53027344,-0.81298828,-0.84326172,1478
-0.23974609,-0.35693359,-0.49731445,1495
-0.23278809,-0.10955811,-0.50390625,1500
-0.44824219,-0.94189453,-1.34082031,1512
-0.37475586,-1.81054688,-2.42382813,1516
-0.21789551,-1.63769531,-2.83789063,1521
0.09515381,-0.91650391,-3.0625,1529
0.28955078,-0.73291016,-3.12304688,1535
0.23608398,-0.65332031,-2.86523438,1546
0.32299805,-0.61279297,-2.5078125,1555
0.12976074,-2.68164063,-1.80175781,1585
-0.01422882,-2.265625,-1.48339844,1597
0.1239624,-2.015625,-2.37304688,1613
